Ticker,Debt/Capital Last Year (%),% Assets in Top 10 Holdings,3-year Annualized Return vs. S&P500,Outperform / Underperform
SSLCX,42.89,24.53,-3.3800000000000012,0
DNFGX,39.89,52.41,14.02,1
WEGRX,34.62,25.22,16.33,1
BGGKX,30.12,50.9,35.69,1
CRMSX,43.82,36.33,-9.46,0
INSCX,34.07,56.51,-4.94,0
STMPX,40.17,11.77,-5.090000000000002,0
DEUCX,45.82,51.77,3.9499999999999993,1
CSMCX,22.74,34.43,9.97,1
RSMOX,41.36,24.86,2.630000000000001,1
SMDPX,44.66,50.71,-2.9400000000000004,0
JVTIX,34.17,19.87,5.27,1
JBSOX,33.08,19.73,-2.6100000000000003,0
RGWFX,40.72,100.01,2.28,1
PEQRX,51.57,25.41,-4.840000000000002,0
JCICX,46.87,43.29,2.2199999999999993,1
ACSHX,46.41,25.49,-8.950000000000003,0
SEEKX,43.4,20.99,-2.3200000000000003,0
JAAGX,43.53,22.7,3.7399999999999984,1
NOSGX,35.64,9.02,-9.11,0
LAUAX,31.31,18.51,5.349999999999998,1
IMOPX,45.02,25.86,4.789999999999997,1
OLVCX,50.48,29.58,-7.75,0
NBGAX,29.3,21.86,2.3599999999999994,1
TWCAX,42.53,57.74,6.8599999999999985,1
LMGCX,42.42,19.25,7.119999999999997,1
IMCGX,39.94,39.99,2.3199999999999985,1
ASLWX,42.53,57.74,8.18,1
BGFIX,40.11,44.16,9.689999999999998,1
WWLCX,39.85,28.91,-5.4,0
EVSTX,44.26,28.68,-3.16,0
EQPGX,36.29,45.29,11.43,1
BGGSX,30.12,50.9,35.5,1
SPWCX,33.17,19.91,6.419999999999997,1
IRLUX,45.64,32.42,2.18,1
TSFYX,42.22,44.26,-4.260000000000002,0
CMLCX,48.98,23.07,-6.3100000000000005,0
TVOIX,41.19,21.6,-7.950000000000001,0
NBREX,50.65,31.29,-13.46,0
OCSGX,40.33,18.79,9.510000000000002,1
SLVIX,50.95,35.82,-5.670000000000001,0
MMCGX,37.12,44.11,45.92999999999999,1
CFNCX,43.92,23.69,-3.49,0
WFDDX,33.41,21.8,14.1,1
EDFCX,52.99,30.92,-9.760000000000002,0
BMCKX,43.46,42.44,7.349999999999998,1
BAFGX,41.63,40.05,9.709999999999997,1
GFFFX,41.62,35.89,7.119999999999997,1
HVOAX,46.96,28.13,-6.8100000000000005,0
RPMNX,44.56,30.22,-8.780000000000001,0
CGMRX,37.66,57.91,-18.96,0
FMCSX,43.19,13.38,-2.820000000000001,0
PPSFX,43.65,19.96,-6.790000000000001,0
DHQCX,54.41,46.28,-12.72,0
ALVDX,40.99,40.88,-5.8900000000000015,0
PAGDX,40.46,57.43,2.1899999999999995,1
NDVAX,44.04,15.25,-4.170000000000001,0
DNLVX,45.02,23.57,-7.260000000000002,0
LVSMX,27.05,27.47,-12.11,0
DGOCX,38.51,46.73,-7.440000000000001,0
WLVJX,37.89,18.24,-2.7,0
FCAKX,38.81,33.17,5.780000000000001,1
VSNGX,42.5,10.72,2.039999999999999,1
SASLX,38.08,4.42,-4.090000000000002,0
IHSRX,34.38,16.59,13.84,1
IBSAX,50.3,56.57,7.1400000000000015,1
SESVX,45.86,14.56,-9.56,0
FIOOX,44.83,16.32,-5.510000000000002,0
EPLRX,51.58,18.13,-6.99,0
IMORX,45.01,25.87,3.82,1
RRGSX,39.14,45.62,6.370000000000001,1
DFSCX,34.26,5.1,-4.92,0
RLCAX,47.62,23.52,-9.65,0
CLQZX,47.11,45.88,4.35,1
LGLCX,37.03,33.77,17.95,1
MCIMX,46.7,11.61,-8.860000000000003,0
MDVYX,48.45,23.98,-7.920000000000001,0
FCVCX,41.03,19.68,-7.65,0
HQIAX,46.06,27.81,-6.32,0
CSVZX,50.95,35.82,-5.760000000000002,0
LGPIX,44.55,43.95,4.3100000000000005,1
FKKSX,33.34,11.71,15.14,1
NEOYX,49.15,31.65,-5.4700000000000015,0
ARIDX,56.72,35.12,-8.370000000000001,0
TVRRX,42.37,47.28,-3.370000000000001,0
MYISX,45.86,10.93,-8.350000000000001,0
ILGRX,41.39,50.72,8.16,1
KAUIX,27.59,20.73,6.93,1
IOLZX,40.59,50.1,-2.79,0
ALFQX,34.51,100.0,-5.19,0
PJVQX,49.78,23.71,-7.200000000000001,0
EQNTX,45.21,33.97,-4.2,0
PMVRX,43.61,23.11,9.84,1
FCNTX,35.97,46.12,4.99,1
PRJIX,36.88,23.7,17.44,1
FOVAX,32.45,36.91,-7.300000000000002,0
WEMCX,34.62,25.22,13.02,1
VSCOX,33.48,9.07,4.09,1
VMGAX,43.82,55.18,10.98,1
JRACX,43.02,49.6,5.389999999999998,1
CLQRX,46.46,33.47,-2.3400000000000016,0
GLSIX,39.96,32.09,-6.74,0
IYAIX,47.31,33.44,-7.170000000000001,0
VSCCX,33.48,9.07,3.02,1
BSFIX,41.48,27.7,7.7399999999999975,1
RMOYX,41.36,24.86,3.17,1
LAUCX,31.31,18.51,3.75,1
FSKGX,39.97,21.78,4.8599999999999985,1
ILCEX,41.39,50.72,7.1099999999999985,1
CIPMX,40.85,25.73,6.399999999999999,1
FIUTX,47.78,31.03,-9.35,0
SCSRX,43.65,18.39,-2.1900000000000013,0
CTVCX,29.51,58.07,-15.78,0
LCSTX,45.78,30.99,8.849999999999998,1
NBHCX,46.72,25.08,-7.8900000000000015,0
EKJRX,36.22,39.37,9.349999999999998,1
PLVJX,43.65,19.96,-6.300000000000002,0
AMGOX,32.51,21.51,13.56,1
HNSGX,36.73,24.51,8.469999999999999,1
TBDAX,41.32,44.18,8.02,1
HBSGX,36.83,11.13,4.599999999999998,1
PVFIX,23.76,42.11,-10.27,0
WOOQX,42.95,18.33,-5.29,0
BUITX,41.99,16.79,6.16,1
GBCCX,46.03,36.15,-9.65,0
ARZDX,56.72,35.12,-8.3,0
TGVVX,40.87,44.13,8.560000000000002,1
FOCAX,44.42,65.46,6.02,1
AMADX,48.89,16.49,-4.300000000000002,0
TWADX,42.43,26.33,-7.940000000000001,0
GSPTX,44.33,26.89,3.03,1
NLCIX,47.92,30.52,-5.360000000000001,0
USISX,48.99,17.28,-6.840000000000002,0
SLYCX,45.81,18.21,-2.290000000000001,0
PGICX,50.38,39.08,-5.54,0
VVOIX,48.26,37.64,-9.8,0
URLGX,38.75,41.53,7.93,1
JMVRX,44.33,15.45,-7.630000000000001,0
MSCYX,33.32,9.73,10.06,1
IVGAX,45.97,25.93,-10.15,0
NSBCX,46.2,35.09,-3.86,0
ETAGX,40.94,35.55,12.39,1
FDVLX,54.84,11.12,-4.9700000000000015,0
RMVIX,34.52,11.3,-7.410000000000001,0
FMPYX,37.76,16.92,10.170000000000002,1
BDAUX,43.22,45.95,2.41,1
SPSRX,45.67,10.98,-12.260000000000002,0
PGFIX,44.46,49.36,10.119999999999996,1
PEEAX,37.54,20.93,8.11,1
CAVAX,43.16,12.73,-2.490000000000001,0
WLCAX,39.05,25.3,-5.900000000000001,0
QRSVX,28.74,35.68,-2.120000000000001,0
GFVCX,46.84,36.77,-6.300000000000002,0
RMORX,41.36,24.86,3.18,1
VIGAX,43.34,45.19,10.529999999999998,1
OPMNX,41.03,21.04,-4.380000000000001,0
CSCJX,39.83,5.4,-6.250000000000001,0
TEEAX,33.98,33.42,-9.94,0
JGRRX,34.78,43.28,5.9899999999999975,1
FBCGX,39.81,45.58,16.9,1
LRSQX,41.39,20.79,-9.74,0
MDDIX,48.45,23.98,-7.510000000000002,0
MRAGX,43.48,25.25,2.27,1
ECASX,40.02,32.38,-3.0,0
DNDGX,32.13,13.51,14.27,1
TSVQX,42.61,9.06,-11.27,0
MIGKX,42.15,42.39,6.949999999999998,1
HMVFX,40.9,19.39,-7.130000000000001,0
MSGGX,39.06,23.61,4.690000000000001,1
JACAX,42.94,48.71,10.5,1
ISMOX,45.02,25.86,5.099999999999998,1
PBLAX,46.28,55.8,9.349999999999998,1
IVOYX,49.91,29.95,-3.66,0
JATTX,40.7,19.08,3.0399999999999987,1
SPECX,38.07,48.81,9.07,1
FTXAX,41.97,24.83,11.849999999999998,1
NBGTX,38.26,31.64,6.039999999999999,1
GSTRX,41.02,43.84,9.170000000000002,1
FFPIX,35.32,43.05,6.16,1
APSGX,39.25,25.36,7.529999999999998,1
GCTSX,44.49,26.41,-2.99,0
ICSAX,43.44,13.39,-7.410000000000001,0
FREIX,50.01,29.77,-5.44,0
WSGBX,40.52,23.76,4.8599999999999985,1
VAFAX,40.93,44.36,8.73,1
MRIEX,48.22,30.57,6.4899999999999975,1
FKACX,38.66,36.73,8.059999999999999,1
FLRAX,41.47,34.98,-3.040000000000002,0
TETAX,32.86,35.83,-8.98,0
PSGQX,40.98,50.54,16.359999999999996,1
WGROX,37.75,28.47,8.709999999999997,1
QALGX,47.19,41.6,8.649999999999999,1
RDIIX,29.98,34.63,-7.950000000000001,0
JTWRX,40.34,37.92,2.1899999999999977,1
MSHLX,34.43,51.16,26.57,1
NSMVX,27.23,44.37,3.8699999999999988,1
DRISX,41.05,18.95,-10.010000000000002,0
FMVSX,43.17,20.43,-8.88,0
EALCX,39.94,46.12,7.439999999999998,1
LEXCX,45.04,91.92,-6.3900000000000015,0
TRDFX,37.22,5.07,-4.520000000000001,0
NRACX,41.76,37.4,-3.0000000000000013,0
GGCTX,38.04,49.21,8.8,1
HIMVX,48.57,14.54,-12.72,0
JLGRX,41.19,37.1,16.24,1
ASMYX,40.61,40.96,10.8,1
OIEPX,46.33,22.55,-5.62,0
MPISX,51.82,37.09,-7.130000000000001,0
PLAYX,40.83,37.27,7.440000000000001,1
TMVAX,34.52,11.3,-7.920000000000001,0
AMFEX,47.63,41.43,-3.110000000000001,0
MADFX,54.16,47.5,-6.8100000000000005,0
ACRTX,32.72,24.11,-8.55,0
NAMAX,46.28,27.66,-4.990000000000001,0
GTTMX,42.39,29.49,-8.120000000000001,0
SKSZX,37.99,20.55,-7.85,0
LAFSX,52.63,21.94,-8.0,0
QCLVX,47.74,22.73,-8.760000000000002,0
ACCLX,41.78,20.7,-9.86,0
STRNX,39.87,27.81,-8.8,0
PTSGX,43.0,56.47,16.59,1
AMIGX,44.57,53.15,9.729999999999997,1
MLVGX,43.6,27.06,-2.47,0
PRUFX,39.14,45.62,7.809999999999999,1
SEPKX,33.07,25.97,13.54,1
WEECX,42.35,28.72,-7.380000000000001,0
EIVTX,46.08,32.42,-6.060000000000001,0
FVLAX,39.21,37.25,-11.63,0
TLGAX,43.09,45.22,-2.1500000000000004,0
FAGAX,37.91,35.55,26.439999999999994,1
SDVCX,50.07,29.14,-8.170000000000002,0
BMSVX,40.47,16.5,-3.5200000000000005,0
SVLCX,50.95,35.82,-7.82,0
MDDLX,48.45,23.98,-8.110000000000001,0
BMIIX,51.82,37.09,-7.23,0
GSIIX,46.54,26.81,-5.540000000000001,0
TBCIX,37.43,46.7,7.18,1
VMSGX,42.23,15.22,7.810000000000002,1
VFFSX,45.66,27.39,2.08,1
KLCIX,38.61,32.51,6.850000000000001,1
HMVCX,40.9,19.39,-9.59,0
RVVRX,26.47,22.64,-10.11,0
ABECX,45.8,43.08,-4.440000000000001,0
PMGJX,35.93,25.57,11.98,1
NEAIX,24.84,63.8,14.689999999999998,1
FBGRX,39.63,45.78,17.04,1
STSNX,36.55,34.51,-7.940000000000001,0
SMLVX,27.05,27.47,-13.63,0
CFVLX,49.65,28.09,-5.610000000000001,0
LCLTX,45.89,25.59,20.37,1
MFVSX,51.41,37.72,-2.3000000000000007,0
WGMVX,24.33,18.08,9.939999999999998,1
AMDVX,41.78,20.7,-7.1400000000000015,0
GLCGX,43.94,45.77,4.44,1
DSFRX,45.05,34.89,4.550000000000002,1
SACVX,48.3,32.51,-3.430000000000001,0
FDSAX,58.82,35.32,-12.5,0
TSPFX,32.35,34.88,4.869999999999999,1
CCWRX,38.75,41.53,9.38,1
MFQTX,42.97,35.69,-2.490000000000001,0
USPVX,53.2,64.89,-5.200000000000001,0
RPXIX,45.99,39.29,10.72,1
EQNVX,45.21,33.97,-3.4800000000000004,0
MMVYX,41.2,12.21,-7.57,0
MSGNX,33.32,9.73,8.959999999999997,1
SSMJX,39.43,100.0,4.2799999999999985,1
UIAGX,35.85,40.34,6.079999999999997,1
CAMLX,43.72,45.62,6.530000000000001,1
IEDIX,47.02,25.55,-6.040000000000001,0
LVOSX,39.31,19.9,-3.770000000000001,0
JARTX,42.87,48.44,9.369999999999996,1
FISSX,37.96,19.7,-12.07,0
LSCNX,40.2,13.17,-8.22,0
SAVLX,43.32,23.49,-9.65,0
FOGIX,31.83,41.78,3.27,1
POSKX,50.89,29.59,-2.7300000000000004,0
PESPX,40.45,7.72,-2.780000000000001,0
WPSZX,47.96,63.01,6.0,1
ASPIX,38.07,48.81,9.079999999999998,1
APGAX,33.09,46.37,8.089999999999996,1
PCSMX,34.18,11.43,10.73,1
MIDUX,51.13,39.78,-3.1700000000000013,0
DCURX,48.75,26.01,-10.07,0
GSPAX,46.06,-7.58,-2.45,0
ALVGX,40.99,40.88,-6.19,0
DSCVX,43.79,19.55,-5.420000000000001,0
PGIAX,52.34,40.43,-4.820000000000001,0
ECSEX,37.36,21.49,-2.3600000000000003,0
AVUAX,41.78,20.7,-7.44,0
DHQIX,54.41,46.28,-10.73,0
FEFAX,45.53,56.46,-11.68,0
DVEAX,40.95,41.67,7.190000000000001,1
GGCIX,43.89,54.39,9.91,1
WBVDX,32.32,19.18,-12.16,0
GPAFX,43.73,31.7,-7.550000000000002,0
HUSIX,42.47,56.69,-9.39,0
EPLBX,51.58,18.13,-9.29,0
LGOVX,42.42,19.25,9.46,1
AEIYX,43.44,31.07,-5.5,0
BMIDX,42.34,28.8,7.559999999999999,1
MSCFX,32.59,36.46,-2.7700000000000005,0
AIVSX,45.93,34.18,-2.84,0
DRIPX,51.09,24.81,-3.0,0
VSVCX,44.86,30.32,-5.99,0
HHDVX,48.24,41.29,-7.15,0
VNVCX,44.96,27.34,-8.150000000000002,0
HIGSX,48.21,36.09,-3.62,0
TOTRX,44.08,23.43,-6.330000000000001,0
DFMGX,38.01,42.96,7.879999999999999,1
LADPX,30.88,17.28,23.24,1
MNNYX,44.85,28.49,-4.540000000000001,0
HMVYX,40.9,19.39,-7.19,0
TRJZX,39.14,45.62,8.419999999999998,1
FVDKX,41.5,24.27,-5.090000000000002,0
MIDIX,51.13,39.78,-3.2500000000000013,0
RSCKX,43.24,38.97,6.969999999999999,1
LIVVX,51.22,34.04,-6.380000000000001,0
OTCCX,39.89,23.0,6.98,1
OLVRX,50.48,29.58,-5.700000000000001,0
GGZPX,42.94,29.64,2.26,1
AMGCX,32.59,21.4,11.099999999999998,1
GABEX,47.46,29.3,-7.94,0
SLGYX,47.22,42.89,3.67,1
MVCAX,43.82,11.35,-5.800000000000002,0
HNGSX,43.67,42.01,2.4199999999999977,1
CMLFX,48.98,23.07,-4.300000000000002,0
ATFFX,39.9,59.97,11.09,1
SMDQX,44.66,50.71,-4.4700000000000015,0
MERBX,36.74,45.46,-2.9000000000000004,0
IEOHX,45.13,48.26,6.549999999999998,1
FBGKX,39.63,45.78,17.249999999999996,1
PEQSX,51.57,25.41,-3.5800000000000014,0
MSMJX,41.03,21.04,-2.89,0
NCBVX,41.96,10.63,-16.4,0
THGRX,39.26,47.92,8.830000000000002,1
IPSSX,35.37,7.46,-6.200000000000001,0
WLCIX,39.05,25.3,-5.23,0
HWVIX,38.58,5.13,-7.950000000000001,0
MIGBX,42.15,42.39,4.799999999999997,1
RSQCX,14.25,40.93,-10.19,0
FTHFX,38.02,27.53,-3.5200000000000014,0
NGDCX,38.26,31.64,4.389999999999999,1
LGOQX,42.42,19.25,8.009999999999998,1
MCMYX,38.14,19.77,-2.039999999999999,0
VSCAX,45.94,31.61,-9.21,0
SDSCX,36.19,25.25,19.76,1
WBSRX,43.11,17.76,8.09,1
SSMAX,41.07,8.74,-2.460000000000001,0
JAMRX,43.02,49.6,7.1099999999999985,1
VAFCX,40.93,44.36,7.079999999999997,1
BMDSX,35.62,25.99,7.75,1
AFYCX,52.43,35.85,-5.44,0
WEEIX,42.35,28.72,-6.420000000000001,0
SSCVX,39.69,28.48,-6.9700000000000015,0
VCBCX,36.47,47.96,6.580000000000003,1
VPMAX,46.1,37.67,2.0699999999999985,1
JVTCX,34.17,19.87,3.169999999999998,1
ESEAX,46.77,48.85,2.3899999999999992,1
DCSVX,37.99,13.22,-11.16,0
ACSRX,46.41,25.49,-10.09,0
ARIMX,42.69,35.51,-4.28,0
WWSAX,37.3,26.66,-4.0200000000000005,0
GTILX,43.82,28.53,2.5,1
ELFNX,43.5,42.01,5.09,1
BASMX,44.6,22.42,2.089999999999998,1
PSLBX,41.64,15.3,-11.08,0
DPSRX,39.79,10.55,-8.49,0
JTUCX,40.14,8.52,-3.49,0
BITSX,44.6,22.42,2.549999999999999,1
SSEFX,51.21,52.09,-7.100000000000001,0
ESGGX,44.08,36.93,-6.3100000000000005,0
SAGYX,43.08,54.69,-2.3600000000000008,0
FDGCX,48.03,24.26,-7.260000000000002,0
LMVTX,49.73,26.73,-6.710000000000001,0
JVSAX,39.25,25.77,-7.950000000000001,0
VVIAX,48.01,22.01,-5.170000000000001,0
RWEBX,46.39,30.64,-4.190000000000001,0
EMICX,42.15,42.39,4.68,1
THCGX,39.26,47.92,8.080000000000002,1
LMPRX,43.08,54.69,-3.640000000000001,0
STAFX,39.31,50.65,5.649999999999999,1
SCIUX,52.58,19.53,-11.24,0
PEGEX,37.54,20.93,8.059999999999999,1
FAIVX,41.45,24.19,-5.590000000000002,0
ZDIIX,47.81,29.39,-7.330000000000001,0
TSLRX,44.26,14.57,-8.98,0
GSSSX,38.48,10.33,-8.99,0
QRLVX,47.74,22.73,-8.0,0
UBVVX,48.95,29.14,-7.620000000000001,0
FDERX,46.51,25.74,-9.15,0
ECLCX,39.94,46.12,5.799999999999998,1
CSDGX,36.33,18.27,-2.119999999999999,0
DHMIX,45.01,30.84,-7.07,0
NUESX,48.41,30.97,2.3200000000000003,1
WECRX,45.5,47.94,10.549999999999997,1
SGICX,36.79,36.21,-3.24,0
AGWUX,40.35,53.59,8.77,1
MSLVX,46.21,17.78,-6.870000000000001,0
HSLSX,36.8,11.02,3.78,1
IHSSX,34.38,16.59,14.509999999999998,1
BIMFX,35.74,24.85,-3.1800000000000006,0
VALAX,49.89,22.63,-3.7200000000000006,0
IRGJX,41.47,11.72,7.2600000000000025,1
ICMAX,34.39,43.3,-3.940000000000001,0
JUEMX,46.67,40.08,3.9599999999999986,1
EACVX,43.82,11.35,-5.870000000000001,0
WFPRX,43.31,27.55,-5.19,0
TVSVX,27.5,51.64,-10.17,0
COLEX,47.62,23.52,-9.2,0
VSTCX,43.21,7.62,-4.050000000000002,0
FAMVX,43.39,50.29,-4.16,0
UCNQX,41.36,50.79,12.03,1
AEIUX,43.44,31.07,-5.830000000000001,0
GSPPX,41.02,43.84,10.65,1
CHCYX,34.76,18.03,12.549999999999995,1
TRZAX,47.45,28.9,-2.5600000000000005,0
DNSMX,34.72,17.07,25.06,1
OTCBX,39.89,23.0,6.9899999999999975,1
DTMVX,36.98,7.09,-8.39,0
SASWX,36.92,9.58,-4.15,0
OVEIX,46.91,35.51,-7.300000000000002,0
WPSKX,47.96,63.01,5.33,1
SSCPX,42.43,20.47,-2.200000000000001,0
AGTHX,41.62,35.89,6.639999999999998,1
WGFCX,36.95,39.93,11.52,1
PNASX,34.18,11.43,8.759999999999998,1
JGISX,46.87,43.29,4.3599999999999985,1
MRAEX,48.22,30.57,5.969999999999999,1
NQVRX,47.55,27.82,-7.630000000000001,0
TGWTX,36.9,34.29,18.67,1
FDFKX,45.99,34.51,2.33,1
ODGIX,38.48,47.63,7.940000000000001,1
JSVZX,41.18,8.28,-8.0,0
LGOTX,42.42,19.25,9.329999999999998,1
SAUMX,38.08,4.42,-4.54,0
DRTCX,46.03,47.0,4.57,1
VDSIX,44.89,30.44,-3.0700000000000003,0
TGVCX,40.87,44.13,6.1400000000000015,1
TWHIX,38.86,23.19,8.969999999999997,1
HGOTX,44.18,40.21,14.459999999999996,1
JDESX,45.42,29.81,2.26,1
HRCUX,42.29,43.14,4.42,1
HRCYX,42.29,43.14,3.5,1
QUASX,27.6,16.1,16.91,1
UBVRX,48.95,29.14,-8.930000000000003,0
SFLNX,49.37,17.94,-2.0200000000000014,0
LMVRX,49.73,26.73,-6.020000000000001,0
VITNX,44.63,22.34,2.75,1
VYCIX,51.65,12.19,-2.210000000000001,0
LRSVX,41.39,20.79,-8.360000000000001,0
VMFVX,42.52,7.9,-5.120000000000001,0
NBHRX,46.72,25.08,-6.920000000000001,0
RPRRX,30.08,26.91,-3.530000000000001,0
UISCX,36.23,8.43,2.369999999999999,1
PPVIX,40.45,13.19,-7.510000000000002,0
GOWLX,46.46,40.09,-4.010000000000002,0
NEXTX,36.05,38.79,28.87,1
IDHCX,56.22,45.86,-8.690000000000001,0
OPOCX,34.68,20.15,13.579999999999998,1
JGTTX,43.23,37.27,13.689999999999998,1
WHGMX,39.43,20.32,-4.8900000000000015,0
GLSRX,38.95,35.9,5.059999999999999,1
JNRFX,43.02,49.6,7.309999999999999,1
