Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
HVOTX,3,85125,16.77,46.96,71,28.13,26,2,0.58,0,191,-6.130000000000001,0,1,0
AISZX,4,7887,-0.71,33.45,92,27.84,24,6,0.98,500000,353,17.869999999999994,1,1,0
ATDCX,3,8976,10.23,50.86,37,47.52,81,0,2.15,1000,113,-13.72,0,0,0
RVPHX,3,1451,-4.27,24.78,115,22.54,53,17,1.24,2000,355,10.57,1,1,0
FDFIX,3,165670,27.52,45.61,507,26.88,3,3,0.0,0,1529,2.1,1,1,0
JSCBX,3,1803,4.99,39.03,95,19.37,46,8,1.16,250000,788,-9.56,0,1,0
CDDYX,4,120837,28.44,48.58,82,26.47,14,12,0.57,1000000,29214,-2.3500000000000014,0,1,0
PEICX,3,89477,17.93,49.78,70,23.71,31,5,2.36,1000,426,-10.4,0,0,0
NBMRX,2,9969,3.18,50.65,52,31.29,16,9,0.76,0,52,-12.37,0,1,0
ELCIX,3,200103,26.65,39.94,62,46.12,40,15,0.8,250000,402,7.979999999999998,1,1,0
IICAX,4,155937,35.29,49.49,45,41.26,33,1,2.01,2500,45,-3.98,0,1,0
JGMNX,3,5791,4.5,40.7,125,19.08,32,6,0.66,1000000,12900,3.549999999999999,1,1,1
JISCX,2,2429,10.13,34.52,85,21.54,59,8,1.36,2500,3706,-10.73,0,1,1
BNSCX,3,3699,-8.08,35.01,101,18.35,79,16,1.24,1000,202,12.8,1,0,0
PFDEX,3,73969,28.93,44.81,15,86.07,96,3,2.04,0,206,-6.7700000000000005,0,1,0
PAMCX,3,18539,11.72,43.55,139,20.33,23,29,1.03,2500,38446,3.24,1,1,1
CMGVX,4,18646,14.64,33.46,66,22.99,63,3,0.84,0,2115,7.3599999999999985,1,1,0
HHDFX,2,38930,22.38,48.24,29,41.29,21,6,0.85,100000,611,-6.49,0,1,0
PBLCX,4,229658,29.56,46.28,42,55.8,30,8,1.66,1000,8859,7.710000000000001,1,0,0
CVCFX,3,79485,19.69,48.71,69,32.79,111,10,1.89,1000,362,-9.36,0,0,0
HVOVX,3,85125,16.77,46.96,71,28.13,26,2,0.46,0,196,-5.660000000000001,0,1,0
BARIX,5,24121,18.24,42.69,66,38.09,9,18,1.05,1000000,5910,7.6099999999999985,1,1,0
TPVIX,1,1768,6.13,39.57,60,28.06,73,9,1.22,100000,143,-7.2,0,1,0
PSMPX,3,10000,12.58,47.32,61,21.34,57,5,1.06,10000,18,-3.860000000000001,0,1,0
PEIIX,2,79172,16.73,46.08,64,26.38,17,5,0.52,0,10022,-2.950000000000001,0,1,0
SEEGX,3,152879,27.08,41.19,77,37.1,47,4,0.69,1000000,33901,15.9,1,1,0
JCNRX,1,19870,10.25,48.6,45,44.05,68,4,1.5,2500,3785,5.57,1,0,0
LCEIX,2,47090,19.34,49.75,81,28.22,8,8,0.77,1000,16020,-6.75,0,1,1
CSXCX,3,117286,26.35,45.92,792,25.75,10,4,1.24,5000,3600,2.6999999999999997,1,0,0
SDGCX,4,167400,24.38,42.46,76,40.52,12,4,1.75,1000,2135,7.41,1,0,0
SCVNX,3,1518,4.33,38.05,146,13.38,78,3,0.85,1000000,437,-7.4300000000000015,0,1,0
HFDFX,4,13829,13.22,40.2,81,18.91,53,3,0.81,1000000,757,-4.33,0,1,0
DLMCX,3,12457,11.97,45.5,97,18.57,43,8,1.89,1000,76,-10.96,0,0,0
MAWNX,3,65672,20.45,41.28,67,33.01,41,9,1.5,1000,455,-5.1000000000000005,0,0,0
QLSGX,2,2083,-2.6,37.62,253,13.61,227,8,0.87,0,905,2.8000000000000007,1,1,0
EAGCX,4,140947,24.06,43.22,24,55.26,23,6,1.8,1000,390,7.16,1,0,0
BPSCX,4,2361,9.03,47.06,150,19.15,46,19,1.32,2500,758,-8.46,0,1,0
MOTAX,4,18099,15.97,42.59,87,25.3,164,1,1.44,0,71,6.099999999999998,1,0,0
TLCIX,4,123031,30.48,47.1,29,47.56,20,2,0.68,500000,331,-3.7,0,1,0
NEFOX,2,64279,13.86,49.15,53,31.65,15,6,1.17,2500,248,-5.99,0,0,0
DHLYX,3,84910,16.44,45.86,52,31.69,22,12,0.56,500000,8302,-3.530000000000001,0,1,0
STSVX,3,2505,2.26,34.47,116,17.65,80,12,1.07,1000,186,-4.600000000000001,0,1,0
GVCAX,3,17004,9.63,43.97,64,53.95,3,22,1.41,1000,322,-7.4300000000000015,0,1,0
BMSFX,4,15050,13.58,40.47,146,16.5,81,4,0.84,1000,389,-4.0200000000000005,0,0,0
JGAUX,3,1673,0.93,40.87,519,8.45,102,3,1.24,0,452,-3.770000000000002,0,1,0
DMCVX,3,16108,1.69,42.66,63,23.9,92,6,1.18,1000,491,-5.6400000000000015,0,0,0
BRSGX,3,1141,13.77,47.69,94,16.01,115,16,0.94,2000,31,-3.76,0,1,0
TLCYX,4,123031,30.48,47.1,29,47.56,20,2,0.78,2500,331,-3.890000000000001,0,1,0
SPSAX,3,2209,8.74,45.67,183,10.98,51,8,1.09,1000,110,-11.82,0,0,0
HIGYX,5,153772,29.2,48.21,42,36.09,41,6,1.08,1000,862,-4.3900000000000015,0,1,0
SSMLX,2,9282,0.91,39.43,1,100.0,51,6,0.17,0,297,4.889999999999999,1,1,0
RLUEX,4,66029,18.51,43.93,27,58.67,33,9,0.76,1000000,2006,-2.450000000000001,0,1,0
IEDRX,3,53678,7.28,47.02,75,25.55,154,6,1.33,0,702,-7.160000000000001,0,0,0
ASMZX,2,4568,-5.35,43.76,53,46.27,67,3,0.94,500000,1385,16.99,1,1,0
HFDYX,4,13829,13.22,40.2,81,18.91,53,3,0.9,250000,757,-4.500000000000001,0,1,0
SPSCX,3,2209,8.74,45.67,183,10.98,51,8,0.79,1000000,110,-11.260000000000002,0,1,0
JDMAX,4,15538,13.87,43.55,85,23.14,14,9,1.12,2500,22855,2.9800000000000004,1,0,0
MMIJX,2,11928,5.66,46.7,136,11.61,82,8,0.85,3000,208,-6.9300000000000015,0,1,0
CSMIX,2,1315,3.09,31.89,193,10.49,60,16,1.32,2000,889,-8.27,0,0,0
MASCX,3,2859,-8.95,35.28,169,14.73,56,6,1.4,2500,16,13.57,1,0,0
LGSCX,3,1855,4.67,35.38,373,6.56,51,2,1.2,0,195,-5.8900000000000015,0,1,0
JPDEX,2,250705,30.89,46.65,54,43.21,19,6,0.55,1000000,1283,2.9599999999999986,1,1,0
ADNYX,2,28692,-10.36,30.68,56,52.72,28,4,1.1,100000,1385,36.41,1,1,0
ACWIX,4,4323,-1.56,45.5,67,32.56,126,10,1.1,100000,46,6.849999999999998,1,1,0
TILHX,3,193993,24.23,37.88,87,44.31,143,7,0.48,0,6740,10.18,1,1,0
ABVYX,3,49754,12.67,45.8,59,33.03,45,5,0.74,0,387,-11.010000000000002,0,1,0
LCGJX,4,208186,28.2,40.64,34,50.81,37,12,0.6,1000000,675,10.639999999999997,1,1,0
BRULX,3,68384,17.68,46.17,131,20.55,45,5,0.74,0,234,-7.85,0,1,0
JVLIX,3,59415,13.45,43.73,92,26.16,88,11,0.81,250000,12548,-8.540000000000001,0,1,0
DSGEX,1,5201,4.09,33.53,37,40.7,139,5,2.01,1000,170,23.63,1,0,0
AFPUX,1,21003,20.81,57.53,24,45.97,718,11,3.03,1000,8,-17.450000000000006,0,0,0
BMSTX,4,15050,13.58,40.47,146,16.5,81,4,0.84,0,389,-4.0200000000000005,0,1,0
WFEIX,4,29536,9.32,33.07,65,25.97,62,10,0.85,1000000,1100,14.11,1,1,0
DENVX,3,57293,19.33,38.64,111,25.44,57,0,0.92,0,95,-9.79,0,1,0
WFSPX,3,176775,27.24,45.66,513,27.27,3,4,0.03,5000000,27040,2.0600000000000005,1,1,0
RGEBX,2,144040,16.32,41.62,392,35.89,28,10,1.11,250,263828,5.6099999999999985,1,0,0
RMEBX,4,101581,24.68,48.98,175,23.07,24,10,1.09,250,70768,-5.710000000000001,0,0,0
BDSKX,2,2592,0.06,38.16,732,7.16,101,5,0.45,5000000,3009,3.27,1,1,0
JFRDX,3,233213,30.52,42.87,41,48.44,42,6,0.8,2500,19121,10.16,1,1,0
SGZFX,3,229800,33.31,46.92,35,54.8,10,4,0.9,1000,60,7.7600000000000025,1,1,0
SHRAX,3,35512,14.03,43.08,54,54.69,2,24,1.13,1000,7113,-3.03,0,0,0
SUWCX,2,127541,26.25,47.55,115,35.36,46,5,1.61,1000,4100,-2.120000000000001,0,0,0
CVSDX,3,82058,17.61,45.57,438,18.89,19,5,0.64,1000000,4295,-4.91,0,1,0
ASPYX,3,189172,26.01,38.07,90,48.81,72,11,1.05,500000,8138,10.009999999999998,1,1,0
VTSAX,2,100020,22.61,44.62,3634,22.34,4,15,0.04,3000,1089792,2.7100000000000013,1,1,0
KDHIX,2,46523,25.91,45.99,44,27.66,40,7,0.75,1000000,1044,-7.250000000000001,0,1,0
LMOPX,1,18136,-3.65,52.52,48,38.73,35,17,2.22,1000,2516,7.120000000000001,1,0,0
LVORX,2,6988,15.59,39.31,74,19.9,36,2,1.43,0,1621,-4.260000000000002,0,0,0
JHJRX,5,130873,28.08,49.22,64,34.53,30,5,0.82,1000000,94,3.1599999999999984,1,1,0
BRUKX,3,68384,17.68,46.17,131,20.55,45,5,0.99,0,234,-8.39,0,0,0
BWLRX,3,38353,16.57,45.66,104,15.96,44,16,0.7,0,955,-10.18,0,1,0
TRSAX,3,258775,23.74,39.14,87,45.62,27,7,0.92,2500,70292,6.929999999999996,1,1,0
ALGZX,5,219709,29.93,41.48,69,48.14,12,4,0.95,500000,84,8.18,1,1,0
SMVSX,3,3131,3.52,45.94,72,31.61,47,11,0.7,1000000,1248,-8.370000000000001,0,1,0
DCCRX,2,2805,1.48,37.61,147,13.82,34,14,1.35,0,6666,-3.140000000000001,0,0,1
BRGKX,3,132580,24.47,45.05,1025,23.99,10,4,0.08,5000000,641,2.68,1,1,0
TWCUX,3,304076,30.27,42.76,63,52.32,6,11,0.97,2500,19061,12.7,1,1,0
TADFX,2,57166,26.27,44.63,40,32.97,45,0,0.78,0,563,-11.74,0,1,0
PEMGX,4,22908,14.58,53.61,84,29.55,14,14,0.95,1000,21087,2.039999999999999,1,0,1
VRMCX,3,11926,26.93,38.09,32,43.55,19,12,0.87,0,1007,3.1300000000000012,1,1,0
MDVSX,2,74343,21.71,48.45,247,23.98,52,9,0.68,0,381,-7.73,0,1,0
STSGX,4,4256,5.07,33.17,95,19.91,20,10,1.38,2500,446,8.059999999999999,1,1,0
TIHGX,2,245079,31.66,36.63,46,56.96,11,19,1.42,1000,196,6.709999999999997,1,1,0
LMBCX,3,1855,4.67,35.38,373,6.56,51,2,1.93,1000,195,-7.31,0,0,0
LAVYX,2,64834,22.2,47.85,75,22.34,59,2,0.69,1000000,1832,-7.16,0,1,0
PSYGX,4,4762,2.34,36.33,91,19.06,56,4,0.99,0,777,14.09,1,1,0
LGILX,4,218532,30.0,43.27,51,46.16,40,4,0.74,0,3050,8.29,1,1,0
GSPSX,2,141916,23.2,44.33,181,26.89,47,14,1.26,0,1060,2.25,1,1,0
MFEJX,4,226023,28.24,40.32,76,43.55,11,11,0.65,0,40877,8.629999999999999,1,1,0
KCVVX,3,38243,19.5,45.73,68,22.14,68,5,1.15,1000,88,-7.31,0,1,0
EIPDX,2,20425,14.97,41.39,182,6.72,51,6,0.4,50000,31,-6.870000000000001,0,1,0
HRLVX,1,55931,18.24,38.33,47,33.69,26,6,0.94,50000,1879,-2.3100000000000005,0,1,0
DRSVX,3,2952,5.99,41.05,103,18.95,61,12,1.32,2500,276,-10.52,0,1,0
FACSX,3,11401,9.89,43.17,73,20.43,56,9,1.92,3000,333,-9.91,0,0,0
GWILX,5,45648,26.53,46.83,71,25.61,105,5,0.85,0,27,-4.3500000000000005,0,1,0
CBMSX,3,7898,11.11,39.59,50,28.61,45,14,0.9,1000000,573,-5.770000000000001,0,1,0
ANVIX,4,64861,26.91,45.19,105,23.66,114,13,0.77,1000000,338,-7.940000000000001,0,1,0
PNBAX,4,64861,26.91,45.19,105,23.66,114,13,1.12,1000,338,-8.65,0,0,0
PMFPX,3,6301,10.63,40.46,404,9.38,24,3,0.42,0,1246,-2.59,0,1,0
AICFX,2,165629,22.23,45.93,207,34.18,31,14,0.66,250,111362,-2.990000000000001,0,1,0
ATDIX,3,8976,10.23,50.86,37,47.52,81,0,1.01,10000000,113,-11.45,0,1,0
ESSIX,2,142623,20.26,49.55,43,34.53,39,5,0.7,10000,51,-4.830000000000001,0,1,0
AUIZX,4,125398,29.25,48.83,68,40.45,43,3,0.68,2000000,491,-5.7200000000000015,0,1,0
TQMIX,4,20179,9.93,36.66,76,24.85,65,16,1.07,100000,2017,6.59,1,1,0
PNOBX,4,129886,23.76,48.28,68,35.23,44,3,1.78,0,5880,4.5299999999999985,1,0,1
AUICX,4,125398,29.25,48.83,68,40.45,43,3,1.74,2500,491,-7.8900000000000015,0,0,0
PPQNX,4,21035,16.32,36.97,391,17.86,51,12,1.62,0,1086,5.3599999999999985,1,0,1
IGRFX,4,21262,13.6,31.11,69,26.98,22,12,0.79,1000000,7278,14.55,1,1,0
TRZZX,3,4578,3.75,34.51,273,12.21,24,4,0.01,0,11674,7.719999999999999,1,1,1
GSRIX,3,31083,25.13,49.28,132,18.17,43,2,0.84,0,496,-3.4200000000000013,0,1,1
SWPPX,3,176727,27.27,45.66,508,27.08,4,4,0.02,0,52753,2.039999999999999,1,1,0
HSRRX,3,5428,-3.52,38.75,97,24.09,21,14,1.31,0,3467,3.139999999999999,1,0,0
VVOCX,2,10997,9.32,48.26,56,37.64,41,6,1.85,1000,690,-11.62,0,0,0
TNVAX,2,2471,0.5,46.75,145,24.27,19,6,1.25,1000,134,-6.2200000000000015,0,0,0
MSMFX,3,22663,-15.1,37.12,55,44.11,65,16,1.74,1000,5424,43.00999999999999,1,0,0
BACVX,3,1535,7.29,35.91,175,10.68,82,4,1.24,1000,71,-9.98,0,0,0
MGRPX,1,55810,-5.08,34.43,46,51.16,87,15,0.49,10000000,17851,28.54,1,1,0
HFMTX,3,7715,7.54,40.51,100,19.31,45,11,0.85,0,15731,3.01,1,1,0
TDVFX,5,1720,1.58,55.36,31,38.29,73,9,1.19,5000,108,-14.15,0,1,0
BPTUX,1,109415,9.7,41.31,32,88.01,8,10,1.96,5000000,6876,40.56999999999999,1,1,0
TVRFX,2,45325,18.41,42.37,37,47.28,20,0,1.35,0,806,-4.120000000000001,0,0,0
VEIPX,2,87234,22.94,48.25,185,26.85,35,12,0.28,3000,40159,-5.170000000000001,0,1,0
CVGRX,2,178036,19.65,38.6,178,43.72,114,12,1.34,2500,1677,4.48,1,0,0
JPELX,2,250705,30.89,46.65,54,43.21,19,6,0.44,15000000,1283,3.2899999999999987,1,1,0
JVSIX,1,3582,15.55,39.25,51,25.77,152,2,1.13,1000000,73,-7.52,0,1,0
FFIDX,3,238979,36.1,43.72,111,43.63,51,4,0.48,0,5359,3.9099999999999984,1,1,0
MFUNX,3,47535,12.25,47.16,154,19.97,54,2,1.36,0,599,-9.88,0,0,0
WSCGX,3,3978,-1.7,39.82,128,14.14,41,12,0.95,1000000,1499,3.93,1,1,1
MXMGX,3,16229,10.36,42.59,157,19.21,30,24,1.02,0,1995,3.3599999999999994,1,1,0
HWSIX,3,2456,2.38,39.9,64,38.2,34,24,1.05,250000,499,-9.87,0,1,0
CMVIX,4,247482,35.58,43.46,180,42.44,70,4,0.62,2000000,1021,7.2399999999999975,1,1,0
NVDAX,2,61160,18.74,40.33,10,100.0,81,7,1.25,1000,164,-2.450000000000001,0,0,0
FVADX,2,2622,6.12,35.23,89,25.89,67,5,0.82,100000,3107,-5.110000000000001,0,1,0
HVOCX,3,85125,16.77,46.96,71,28.13,26,2,1.71,2000,196,-8.43,0,0,0
EPLDX,2,80376,24.77,51.58,106,18.13,29,10,0.73,0,974,-6.5600000000000005,0,1,0
CRMEX,2,10218,3.91,43.57,43,32.97,65,3,1.4,2500,29,-6.380000000000001,0,1,0
OBSIX,4,2604,0.99,38.24,65,26.47,142,15,1.3,1000000,18,5.32,1,1,0
TPWCX,4,86901,26.42,46.88,467,21.39,27,6,0.47,0,599,2.7399999999999984,1,1,0
GSMGX,2,9332,3.32,35.32,107,18.49,76,2,2.02,1000,3061,11.36,1,0,0
GUERX,5,8887,10.24,42.96,43,31.81,49,5,1.5,0,3,2.5699999999999985,1,0,1
SVAIX,2,85761,18.86,50.79,42,41.9,38,6,0.8,1000000,7153,-10.57,0,1,0
WLVLX,2,33482,24.92,37.89,107,18.24,165,4,0.71,1000,60,-3.5700000000000003,0,0,0
TCLCX,3,107843,17.05,47.1,86,25.24,26,2,0.72,2500,5227,-8.55,0,1,0
DSGIX,3,4103,0.08,35.24,370,9.3,105,6,1.01,1000,720,6.819999999999998,1,1,0
VWNDX,2,34867,9.35,45.3,129,19.03,51,5,0.29,3000,20542,-4.920000000000001,0,1,0
SCAYX,4,35753,30.81,52.58,108,19.53,122,0,0.93,1000,197,-11.6,0,1,0
BRUGX,3,68384,17.68,46.17,131,20.55,45,5,1.49,1000,234,-9.39,0,0,0
RMFHX,4,101581,24.68,48.98,175,23.07,24,10,0.4,250,70768,-4.290000000000001,0,1,0
TRMVX,3,54824,15.97,47.39,220,21.05,65,9,0.89,100000,1472,-9.52,0,1,0
TLORX,3,67378,24.95,46.19,162,21.73,116,2,1.0,0,365,-8.96,0,0,0
GSRRX,3,31083,25.13,49.28,132,18.17,43,2,1.35,0,496,-4.4700000000000015,0,0,1
JCAPX,3,233213,30.52,42.87,41,48.44,42,6,0.74,1000000,19121,10.29,1,1,0
TSPIX,4,3382,1.92,32.35,49,34.88,69,5,1.0,0,223,5.1400000000000015,1,1,0
CSRYX,1,60589,13.94,50.95,39,35.82,18,14,0.45,1000000,1203,-5.570000000000001,0,1,0
HAMVX,3,7314,11.57,48.57,145,14.54,4,12,0.88,50000,414,-11.99,0,1,0
SWLSX,3,234379,38.42,44.5,121,47.6,65,7,0.99,0,246,3.3299999999999983,1,1,0
DDFRX,2,47090,19.34,49.75,81,28.22,8,8,1.08,0,16020,-7.41,0,0,0
BASAX,4,5807,0.54,39.39,84,26.97,29,9,1.37,100,2412,5.84,1,1,0
HICVX,2,88887,20.02,52.91,52,27.15,32,9,1.08,250000,230,-11.3,0,1,0
ABSKX,2,4284,5.08,41.03,101,15.39,36,8,1.21,0,2882,-9.87,0,1,0
MJRFX,3,16769,6.14,45.33,98,20.75,25,4,0.8,5000000,381,-4.15,0,1,0
JLGZX,3,152879,27.08,41.19,77,37.1,47,4,1.19,0,33901,14.77,1,0,0
VSOIX,3,2696,5.5,31.18,113,15.2,37,14,0.93,2000000,6198,-4.24,0,1,1
LSVAX,3,2711,7.99,40.2,127,13.17,23,15,1.4,0,602,-9.36,0,1,0
PCCOX,2,170492,26.44,45.27,246,27.77,32,4,0.4,1000000,6019,2.28,1,1,0
SFMRX,4,22126,13.87,36.36,96,18.81,15,10,0.84,0,627,9.54,1,1,0
VFPIX,2,839,5.14,42.28,31,58.32,20,11,1.16,5000,28,-4.840000000000002,0,1,0
GBSCX,3,3332,17.41,30.45,56,30.2,35,5,2.13,1000,44,-5.98,0,0,0
SEQUX,3,85188,19.15,33.26,30,47.72,16,5,1.0,5000,4523,3.219999999999999,1,1,0
JCNAX,1,19870,10.25,48.6,45,44.05,68,4,0.97,2500,3785,6.77,1,0,0
SZCIX,4,1751,7.01,42.89,96,24.53,15,5,0.84,1000000,351,-3.28,0,1,0
SBHAX,2,64754,22.71,43.56,62,28.08,16,8,0.96,250000,172,2.3599999999999994,1,1,0
VVOSX,2,10997,9.32,48.26,56,37.64,41,6,0.75,1000000,690,-9.4,0,1,0
DFSGX,5,4457,8.88,37.71,47,34.63,38,7,0.95,500000,60,9.46,1,1,0
BISCX,3,3699,-8.08,35.01,101,18.35,79,16,0.99,2000000,202,13.36,1,1,0
CCASX,4,3625,6.95,29.53,52,30.54,22,13,1.1,2500,3900,6.169999999999997,1,1,1
FGIRX,2,95510,20.88,50.44,179,37.08,28,10,0.95,0,540,-4.500000000000001,0,0,0
SSETX,2,4669,-15.32,29.89,99,25.47,74,6,1.0,1000,28,19.48,1,1,0
WPSIX,4,100343,29.22,47.96,21,63.01,23,12,0.86,2000000,981,5.949999999999998,1,1,0
SVFFX,5,60200,25.89,53.57,30,52.88,21,11,0.97,1000000,1412,-3.150000000000001,0,1,0
WSMIX,4,6867,14.22,36.85,72,19.08,107,9,1.0,500000,1,-10.88,0,1,0
ENSBX,3,55331,27.77,48.71,23,65.08,61,5,1.0,5000,48,6.66,1,1,0
SDIVX,2,95547,24.51,48.61,23,54.38,14,16,0.85,100000,28,-9.36,0,1,0
JNVYX,5,14323,25.09,49.07,38,39.23,36,10,0.8,1000000,94,-2.040000000000001,0,1,0
SELCX,3,220158,32.62,43.35,161,39.96,58,3,0.89,100000,1689,7.1099999999999985,1,1,0
POPFX,2,10180,11.39,36.06,80,24.46,27,9,1.29,10000,229,-4.500000000000001,0,1,0
USPFX,3,197897,26.77,53.2,29,64.89,17,8,1.35,2500,38,-4.690000000000001,0,1,0
ALCKX,3,166768,31.44,33.09,53,46.37,32,7,0.95,0,15807,7.879999999999999,1,1,0
JMGFX,4,24017,12.22,40.57,110,16.57,63,11,0.79,0,8134,12.330000000000002,1,1,0
FEAIX,3,190504,32.37,45.53,37,56.46,98,0,0.96,1000000,556,-11.05,0,1,0
QMLAX,3,30504,15.47,36.74,9,92.75,727,4,2.03,10000,278,2.1999999999999997,1,0,0
TRMIX,2,10983,5.41,41.93,97,23.29,32,20,0.65,1000000,13495,-5.920000000000001,0,1,0
MVIAX,4,77454,17.44,47.55,258,18.74,39,8,0.86,2500,315,-5.120000000000001,0,0,0
RVPIX,3,1451,-4.27,24.78,115,22.54,53,17,1.17,1000000,355,10.73,1,1,0
TGVNX,2,9199,7.39,43.53,63,31.22,42,5,0.97,2000,78,-10.19,0,1,0
GMVCX,2,6090,7.49,42.65,197,10.2,76,7,1.98,1000,135,-8.17,0,0,0
HILVX,1,55931,18.24,38.33,47,33.69,26,6,1.06,2500,1879,-2.5300000000000007,0,1,0
DHTYX,1,12247,7.51,46.68,35,48.18,45,8,0.76,500000,326,-2.66,0,1,0
ICVPX,2,2689,2.61,43.44,123,13.39,25,15,1.27,0,163,-7.200000000000001,0,0,0
RICFX,2,165629,22.23,45.93,207,34.18,31,14,0.33,250,111362,-2.3100000000000005,0,1,0
WFSSX,4,3629,5.9,40.92,76,21.7,41,2,1.0,1000000,58,-5.870000000000001,0,1,0
WFLVX,3,59144,17.74,39.05,110,25.3,366,4,1.58,1000,221,-7.450000000000001,0,0,0
IHSUX,3,4595,-3.51,34.38,120,16.59,104,8,0.95,0,962,15.21,1,1,0
HFMIX,3,7715,7.54,40.51,100,19.31,45,11,0.87,2000,15731,2.99,1,1,0
PTWAX,3,207673,20.23,40.34,45,37.92,74,6,1.2,1000,1103,2.7300000000000004,1,0,0
ISGEX,3,4520,-0.78,40.52,80,23.76,40,6,1.35,250,3037,6.7499999999999964,1,0,0
VSEMX,2,7270,0.32,39.54,3340,7.65,13,13,0.02,0,14300,5.299999999999999,1,1,0
BALVX,3,32193,19.13,46.64,81,23.54,76,6,0.79,1000,295,-8.620000000000001,0,0,0
RSMRX,2,5220,12.0,35.45,74,20.47,15,11,0.77,250000,118,3.129999999999999,1,1,0
MSCGX,2,5788,9.9,40.68,470,8.58,73,7,0.49,0,1932,-2.2300000000000004,0,1,0
SMDOX,4,13769,16.31,44.66,32,50.71,60,4,0.79,1000000,12,-2.390000000000001,0,1,0
SMDLX,2,46761,28.24,54.67,83,36.62,47,9,1.95,1000,318,-6.290000000000001,0,0,0
GATAX,2,23001,17.28,44.6,439,22.68,4,10,1.36,1000,2103,-5.350000000000001,0,0,0
EFCAX,3,42124,15.74,41.75,68,40.42,94,6,1.35,2000,20,10.989999999999998,1,0,0
GCMAX,3,16021,6.49,43.96,114,16.66,87,4,1.24,1000,1100,-3.850000000000001,0,0,0
SDVRX,3,11316,2.55,41.96,190,10.63,55,7,1.46,0,235,-15.44,0,0,1
COGLX,4,41383,27.06,49.77,123,18.91,74,4,2.02,1000,1,-3.0600000000000005,0,1,0
MNNAX,2,67030,27.97,44.85,79,28.49,100,5,1.35,2500,411,-5.290000000000001,0,0,0
MPDIX,4,256718,40.8,41.38,73,42.68,50,0,0.56,0,265,5.6,1,1,0
OIERX,3,90410,19.37,46.33,87,22.55,22,6,0.56,0,37352,-4.770000000000001,0,1,0
MOTZX,4,18099,15.97,42.59,87,25.3,164,1,0.89,0,71,7.23,1,1,0
FFIOX,1,35283,29.47,36.15,41,32.26,524,3,2.15,2000,163,-16.32,0,0,0
LADVX,3,5286,-6.16,30.88,102,17.28,122,6,0.6,0,5141,24.46,1,1,0
GMYPX,3,88920,16.01,45.96,85,23.48,64,2,0.75,0,440,-6.32,0,1,0
MNDHX,4,4364,-1.95,38.99,121,18.02,64,7,1.28,0,2840,14.38,1,1,0
LGOFX,4,21749,7.15,42.42,100,19.25,27,4,1.01,0,820,9.11,1,1,0
MXNZX,2,5168,11.55,41.59,400,7.32,16,5,0.19,0,744,-2.130000000000001,0,1,0
HFCVX,2,88887,20.02,52.91,52,27.15,32,9,1.3,2500,230,-11.7,0,1,0
EAFRX,3,190504,32.37,45.53,37,56.46,98,0,1.16,0,556,-11.52,0,1,0
CGQFX,3,172135,38.66,47.11,69,45.88,78,4,0.91,2000,301,4.34,1,1,0
GTMUX,2,9332,3.32,35.32,107,18.49,76,2,0.93,5000000,3061,13.81,1,1,0
POLIX,5,227729,31.42,37.69,25,58.11,23,6,0.98,100000,9755,10.41,1,1,0
DSEFX,4,153720,27.55,45.05,323,34.89,21,2,1.08,2500,1008,3.34,1,1,0
FAKDX,2,49158,9.6,44.13,36,42.99,27,13,1.24,500,74,-7.81,0,1,0
LMORX,1,18136,-3.65,52.52,48,38.73,35,17,1.76,0,2516,8.149999999999999,1,0,0
SCVAX,3,1518,4.33,38.05,146,13.38,78,3,1.13,1000,437,-8.030000000000001,0,0,0
SPSDX,3,2209,8.74,45.67,183,10.98,51,8,1.79,1000,110,-13.25,0,0,0
NMUCX,4,115344,23.55,47.38,44,42.81,27,11,1.88,2500,590,-4.12,0,0,0
ACFGX,1,97420,8.57,42.44,40,50.68,27,5,0.0,0,2197,22.32,1,1,0
LOVLX,3,11132,14.38,44.93,77,18.35,69,5,0.66,0,1300,-8.030000000000001,0,1,0
OVECX,3,10378,10.91,46.91,41,35.51,29,2,1.88,1000,73,-9.34,0,0,0
OGFAX,3,165612,27.51,45.62,506,26.97,15,6,0.04,15000000,6898,2.01,1,1,0
ANOGX,3,4039,-1.98,41.98,143,13.37,141,5,1.02,0,1954,13.46,1,1,0
FFDKX,3,238979,36.1,43.72,111,43.63,51,4,0.39,0,5359,4.099999999999998,1,1,0
ADNAX,2,28692,-10.36,30.68,56,52.72,28,4,1.4,2500,1385,37.14,1,0,0
OCLGX,3,223377,24.23,40.74,126,41.85,29,4,1.99,1000,2165,3.810000000000001,1,0,0
CBEJX,4,33782,12.31,41.77,48,29.69,33,16,0.65,0,264,-5.1400000000000015,0,1,0
CFSIX,3,108768,20.3,43.0,32,56.47,41,9,1.0,2500,5206,17.16,1,1,0
LBGCX,5,22858,6.57,43.76,65,27.54,28,8,1.86,1000,115,5.949999999999998,1,0,0
TSCHX,2,2246,1.43,36.63,417,7.72,93,3,0.48,0,3113,-2.390000000000001,0,1,1
