Ticker,Dividend Yield (%),Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform
MMERX,0.36,13.82,4.68,592,-10.97,0
LFEIX,0.5,20.69,12.91,56490,-9.35,0
CVAAX,1.03,24.81,20.68,203131,-2.210000000000001,0
JDVVX,0.53,15.12,9.83,59415,-8.420000000000002,0
CHDRX,0.32,16.62,11.35,108671,-10.18,0
PFPRX,1.31,34.58,30.19,23372,2.039999999999999,1
IMOWX,1.6,32.42,23.26,21313,4.899999999999999,1
HDGIX,0.89,17.56,13.32,127421,-3.390000000000001,0
TILIX,1.89,29.7,22.92,250027,10.509999999999998,1
WESWX,0.67,22.22,14.45,92034,-6.9300000000000015,0
AMCSX,0.43,12.96,6.84,8740,-12.15,0
BWLIX,0.33,14.08,7.53,38353,-10.920000000000002,0
NOIEX,0.92,18.75,13.95,130274,-2.9399999999999995,0
TSVAX,0.3,9.88,3.79,1441,-12.23,0
PKAPX,0.7,14.6,7.67,64807,-4.58,0
TNVCX,0.67,15.07,6.87,2471,-5.7200000000000015,0
ISPVX,0.76,17.88,11.54,4089,-3.94,0
CDORX,0.6,15.29,11.38,86820,-6.380000000000001,0
TCRAX,1.78,34.83,25.41,280056,7.789999999999999,1
APHMX,2.29,44.94,31.51,22417,14.07,1
ARSMX,0.88,5.04,7.13,3429,-4.780000000000001,0
CSXRX,1.48,21.91,16.59,117286,4.9700000000000015,1
VMGRX,1.69,36.52,24.25,19905,6.309999999999999,1
NBMVX,2.19,30.3,20.45,4756,14.97,1
FOGPX,1.67,29.27,21.12,18850,6.4899999999999975,1
CHHRX,2.69,31.64,24.19,4904,22.89,1
QSVIX,0.27,16.99,8.04,4377,-14.73,0
DSGYX,1.61,29.25,17.0,4103,6.920000000000003,1
THCRX,1.77,31.15,21.41,149515,7.710000000000001,1
BFGIX,3.56,85.74,35.12,75850,34.28999999999999,1
MLPSX,0.47,13.1,6.91,4166,-10.5,0
GUESX,1.44,32.73,22.83,8887,3.639999999999999,1
FDEGX,1.54,31.66,24.89,25198,4.599999999999998,1
MSVZX,0.55,15.99,7.61,2072,-7.170000000000001,0
SNWAX,0.87,11.05,6.57,2755,-6.53,0
TWUIX,2.19,38.1,25.99,304076,13.15,1
AMCCX,0.39,12.96,6.84,8740,-13.21,0
SSLCX,0.83,16.13,7.9,1751,-3.3800000000000012,0
DNFGX,2.47,48.17,32.36,182201,14.02,1
WEGRX,2.27,38.97,22.14,3197,16.33,1
BGGKX,3.61,79.32,34.82,68576,35.69,1
CRMSX,0.4,20.06,7.6,1630,-9.46,0
INSCX,1.03,55.99,28.64,44085,-4.94,0
STMPX,0.72,16.26,11.04,3852,-5.090000000000002,0
DEUCX,1.68,47.32,28.5,136998,3.9499999999999993,1
CSMCX,1.84,32.55,23.58,3324,9.97,1
RSMOX,1.51,41.75,27.34,19951,2.630000000000001,1
SMDPX,0.96,18.66,15.01,13769,-2.9400000000000004,0
JVTIX,1.58,28.41,16.89,4014,5.27,1
JBSOX,1.02,25.57,18.0,3542,-2.6100000000000003,0
RGWFX,1.28,23.57,18.94,90716,2.28,1
PEQRX,0.79,16.32,11.99,77240,-4.840000000000002,0
JCICX,1.39,22.97,17.11,201243,2.2199999999999993,1
ACSHX,0.5,13.89,7.01,50662,-8.950000000000003,0
SEEKX,1.0,22.97,16.18,101623,-2.3200000000000003,0
JAAGX,1.53,23.87,17.62,15486,3.7399999999999984,1
NOSGX,0.34,12.9,7.12,2130,-9.11,0
LAUAX,1.54,24.19,17.74,3489,5.349999999999998,1
IMOPX,1.59,32.41,23.25,21320,4.789999999999997,1
OLVCX,0.7,13.96,9.26,26609,-7.75,0
NBGAX,1.3,29.6,21.46,6324,2.3599999999999994,1
TWCAX,1.71,32.73,24.02,329187,6.8599999999999985,1
LMGCX,1.84,41.07,25.53,21749,7.119999999999997,1
IMCGX,1.36,35.46,24.86,14377,2.3199999999999985,1
ASLWX,1.76,32.73,24.02,329187,8.18,1
BGFIX,1.94,32.18,24.7,87038,9.689999999999998,1
WWLCX,0.65,21.07,15.32,108647,-5.4,0
EVSTX,0.96,19.26,14.61,174967,-3.16,0
EQPGX,1.99,27.85,23.38,142943,11.43,1
BGGSX,3.61,79.32,34.82,68576,35.5,1
SPWCX,1.73,33.0,22.01,4256,6.419999999999997,1
IRLUX,1.33,23.57,17.71,276474,2.18,1
TSFYX,0.85,8.0,12.8,3653,-4.260000000000002,0
CMLCX,0.64,18.18,12.53,101581,-6.3100000000000005,0
TVOIX,0.52,15.88,9.38,2974,-7.950000000000001,0
NBREX,0.24,14.06,8.51,9969,-13.46,0
OCSGX,2.0,24.94,17.54,5778,9.510000000000002,1
SLVIX,0.69,13.52,9.23,60589,-5.670000000000001,0
MMCGX,4.13,104.27,35.03,22663,45.92999999999999,1
CFNCX,0.95,18.82,15.27,104576,-3.49,0
WFDDX,2.32,47.26,27.95,12355,14.1,1
EDFCX,0.45,15.56,10.5,27220,-9.760000000000002,0
BMCKX,1.73,32.21,24.55,247482,7.349999999999998,1
BAFGX,2.03,37.33,28.19,114380,9.709999999999997,1
GFFFX,1.68,28.98,21.3,144040,7.119999999999997,1
HVOAX,0.66,16.89,13.05,85125,-6.8100000000000005,0
RPMNX,0.53,15.49,7.5,9470,-8.780000000000001,0
CGMRX,-0.34,14.29,9.65,8400,-18.96,0
FMCSX,0.94,15.56,10.7,8806,-2.820000000000001,0
PPSFX,0.69,18.06,13.21,69056,-6.790000000000001,0
DHQCX,0.15,11.76,8.51,42638,-12.72,0
ALVDX,0.69,18.22,14.03,94888,-5.8900000000000015,0
PAGDX,1.49,24.79,15.28,52937,2.1899999999999995,1
NDVAX,0.84,14.56,7.14,3101,-4.170000000000001,0
DNLVX,0.59,16.45,11.66,70179,-7.260000000000002,0
LVSMX,0.05,21.86,15.65,3419,-12.11,0
DGOCX,0.67,19.08,11.66,51850,-7.440000000000001,0
WLVJX,0.79,24.51,17.14,33482,-2.7,0
FCAKX,1.56,24.99,20.05,96995,5.780000000000001,1
VSNGX,1.31,21.42,13.87,18759,2.039999999999999,1
SASLX,0.77,16.57,9.74,3808,-4.090000000000002,0
IHSRX,2.21,27.15,15.79,4595,13.84,1
IBSAX,1.88,41.82,24.67,11234,7.1400000000000015,1
SESVX,0.41,12.19,6.93,2719,-9.56,0
FIOOX,0.66,17.36,11.68,61754,-5.510000000000002,0
EPLRX,0.56,17.24,12.12,80376,-6.99,0
IMORX,1.56,32.42,23.26,21313,3.82,1
RRGSX,1.72,32.85,23.84,258775,6.370000000000001,1
DFSCX,0.64,14.67,7.4,1287,-4.92,0
RLCAX,0.43,15.47,10.08,61757,-9.65,0
CLQZX,1.46,23.38,17.54,172135,4.35,1
LGLCX,2.56,48.96,32.45,96415,17.95,1
MCIMX,0.54,15.88,9.87,11928,-8.860000000000003,0
MDVYX,0.55,14.91,10.56,74343,-7.920000000000001,0
FCVCX,0.54,10.35,5.44,2613,-7.65,0
HQIAX,0.65,17.67,13.97,99596,-6.32,0
CSVZX,0.69,13.52,9.23,60589,-5.760000000000002,0
LGPIX,1.55,25.33,19.9,249572,4.3100000000000005,1
FKKSX,2.24,38.74,15.42,3756,15.14,1
NEOYX,0.9,15.27,9.79,64279,-5.4700000000000015,0
ARIDX,0.49,14.81,10.02,42899,-8.370000000000001,0
TVRRX,0.95,15.4,11.97,45325,-3.370000000000001,0
MYISX,0.54,15.15,7.63,5048,-8.350000000000001,0
ILGRX,1.85,32.22,25.06,239768,8.16,1
KAUIX,1.8,36.89,18.18,14514,6.93,1
IOLZX,1.07,18.03,15.19,21585,-2.79,0
ALFQX,1.21,17.08,12.19,3517,-5.19,0
PJVQX,0.6,16.93,13.0,89477,-7.200000000000001,0
EQNTX,0.78,16.02,11.2,120961,-4.2,0
PMVRX,1.86,31.73,21.31,21639,9.84,1
FCNTX,1.62,29.6,23.66,252643,4.99,1
PRJIX,2.48,52.99,29.98,14707,17.44,1
FOVAX,0.54,5.48,12.9,1731,-7.300000000000002,0
WEMCX,2.17,38.97,22.14,3197,13.02,1
VSCOX,1.49,17.72,11.15,3223,4.09,1
VMGAX,1.94,33.85,25.28,428886,10.98,1
JRACX,1.65,32.43,23.1,196427,5.389999999999998,1
CLQRX,0.98,18.86,12.63,132742,-2.3400000000000016,0
GLSIX,0.62,15.92,7.78,2958,-6.74,0
IYAIX,0.71,14.59,8.88,48303,-7.170000000000001,0
VSCCX,1.45,17.72,11.15,3223,3.02,1
BSFIX,1.86,38.33,22.95,7791,7.7399999999999975,1
RMOYX,1.54,41.75,27.34,19951,3.17,1
LAUCX,1.47,24.19,17.74,3489,3.75,1
FSKGX,1.55,31.66,24.78,25147,4.8599999999999985,1
ILCEX,1.81,32.22,25.06,239768,7.1099999999999985,1
CIPMX,1.62,26.97,19.79,14021,6.399999999999999,1
FIUTX,0.45,14.09,10.34,72851,-9.35,0
SCSRX,1.07,19.88,13.87,7540,-2.1900000000000013,0
CTVCX,0.05,37.63,22.2,2048,-15.78,0
LCSTX,1.78,21.81,19.38,83277,8.849999999999998,1
NBHCX,0.47,20.0,13.2,59896,-7.8900000000000015,0
EKJRX,1.97,40.83,27.43,98404,9.349999999999998,1
PLVJX,0.71,18.06,13.21,69056,-6.300000000000002,0
AMGOX,2.14,41.33,27.0,15056,13.56,1
HNSGX,1.83,25.5,17.12,5089,8.469999999999999,1
TBDAX,1.87,30.92,22.81,235919,8.02,1
HBSGX,1.56,23.53,15.82,3890,4.599999999999998,1
PVFIX,0.12,12.7,4.965322972498793,213,-10.27,0
WOOQX,0.78,23.4,16.44,8367,-5.29,0
BUITX,1.56,32.85,21.89,14775,6.16,1
GBCCX,0.59,17.59,10.87,51218,-9.65,0
ARZDX,0.49,14.81,10.02,42899,-8.3,0
TGVVX,1.85,27.35,22.48,143945,8.560000000000002,1
FOCAX,1.81,48.51,29.93,160048,6.02,1
AMADX,0.83,16.79,11.89,62977,-4.300000000000002,0
TWADX,0.59,15.13,9.32,59084,-7.940000000000001,0
GSPTX,1.44,26.01,20.32,141916,3.03,1
NLCIX,0.79,16.32,9.42,63043,-5.360000000000001,0
USISX,0.57,17.39,12.17,53718,-6.840000000000002,0
SLYCX,1.01,18.44,12.9,80603,-2.290000000000001,0
PGICX,0.78,16.89,10.73,45665,-5.54,0
VVOIX,0.69,13.52,6.49,10997,-9.8,0
URLGX,2.02,34.31,29.94,114551,7.93,1
JMVRX,0.53,16.53,9.49,14611,-7.630000000000001,0
MSCYX,1.91,26.81,16.19,4612,10.06,1
IVGAX,0.48,15.24,9.75,59677,-10.15,0
NSBCX,0.95,20.01,15.5,142922,-3.86,0
ETAGX,2.2,45.37,24.24,16402,12.39,1
FDVLX,0.82,12.98,7.54,7873,-4.9700000000000015,0
RMVIX,0.46,11.23,5.42,550,-7.410000000000001,0
FMPYX,1.88,27.09,16.31,3908,10.170000000000002,1
BDAUX,1.4,28.72,23.58,145124,2.41,1
SPSRX,0.13,9.97,3.92,2209,-12.260000000000002,0
PGFIX,1.98,33.64,25.92,204556,10.119999999999996,1
PEEAX,1.8,39.36,27.17,22953,8.11,1
CAVAX,1.02,18.55,13.01,48557,-2.490000000000001,0
WLCAX,0.69,10.01,13.31,59144,-5.900000000000001,0
QRSVX,0.84,15.63,9.45,2858,-2.120000000000001,0
GFVCX,0.76,23.39,17.73,105210,-6.300000000000002,0
RMORX,1.54,41.75,27.34,19951,3.18,1
VIGAX,1.9,33.84,25.23,264359,10.529999999999998,1
OPMNX,0.85,21.23,12.48,17004,-4.380000000000001,0
CSCJX,0.57,12.2,5.59,1338,-6.250000000000001,0
TEEAX,0.38,14.66,10.11,2054,-9.94,0
JGRRX,1.68,38.3,27.37,121601,5.9899999999999975,1
FBCGX,2.38,33.95,23.29,163125,16.9,1
LRSQX,0.42,13.53,9.16,2302,-9.74,0
MDDIX,0.57,14.91,10.56,74343,-7.510000000000002,0
MRAGX,1.34,20.39,10.91,4167,2.27,1
ECASX,1.08,23.12,16.18,8673,-3.0,0
DNDGX,2.27,32.41,21.57,4019,14.27,1
TSVQX,0.34,9.88,3.79,1441,-11.27,0
MIGKX,1.68,26.36,21.54,162582,6.949999999999998,1
HMVFX,0.57,16.46,12.54,8695,-7.130000000000001,0
MSGGX,1.47,20.83,8.9,1555,4.690000000000001,1
JACAX,2.02,40.88,27.44,235784,10.5,1
ISMOX,1.61,32.41,23.25,21320,5.099999999999998,1
PBLAX,1.97,35.33,26.59,229658,9.349999999999998,1
IVOYX,0.94,18.73,12.58,10985,-3.66,0
JATTX,1.49,26.17,15.83,5791,3.0399999999999987,1
SPECX,1.94,32.75,24.02,189172,9.07,1
FTXAX,1.96,25.61,17.5,4140,11.849999999999998,1
NBGTX,1.64,27.27,21.75,124831,6.039999999999999,1
GSTRX,1.9,33.28,26.47,235542,9.170000000000002,1
FFPIX,1.67,29.79,23.96,204588,6.16,1
APSGX,1.74,28.58,16.91,7757,7.529999999999998,1
GCTSX,0.99,23.84,14.63,61690,-2.99,0
ICSAX,0.53,15.2,7.36,2689,-7.410000000000001,0
FREIX,0.76,18.9,12.58,137844,-5.44,0
WSGBX,1.56,30.87,17.12,4520,4.8599999999999985,1
VAFAX,1.93,31.89,20.63,154246,8.73,1
MRIEX,1.86,27.09,13.9,34835,6.4899999999999975,1
FKACX,1.95,43.46,30.21,133080,8.059999999999999,1
FLRAX,1.02,19.19,15.28,109210,-3.040000000000002,0
TETAX,0.45,14.36,9.05,897,-8.98,0
PSGQX,2.56,62.97,34.48,221489,16.359999999999996,1
WGROX,1.82,33.51,16.78,4548,8.709999999999997,1
QALGX,1.88,30.12,19.84,147896,8.649999999999999,1
RDIIX,0.61,17.22,13.09,5181,-7.950000000000001,0
JTWRX,1.44,28.52,21.78,207673,2.1899999999999977,1
MSHLX,3.16,146.93,38.49,55810,26.57,1
NSMVX,1.25,18.2,7.6,369,3.8699999999999988,1
DRISX,0.32,12.81,6.45,2952,-10.010000000000002,0
FMVSX,0.52,14.57,9.51,11401,-8.88,0
EALCX,1.81,29.28,22.34,200103,7.439999999999998,1
LEXCX,0.69,22.65,14.04,142638,-6.3900000000000015,0
TRDFX,0.73,17.88,9.58,3632,-4.520000000000001,0
NRACX,1.04,20.92,15.64,87475,-3.0000000000000013,0
GGCTX,1.83,31.12,26.97,227189,8.8,1
HIMVX,0.23,11.21,6.01,7314,-12.72,0
JLGRX,2.39,32.2,24.93,152879,16.24,1
ASMYX,2.01,32.6,16.45,95897,10.8,1
OIEPX,0.74,18.57,13.89,90410,-5.62,0
MPISX,0.62,14.75,9.82,53477,-7.130000000000001,0
PLAYX,1.78,38.44,27.78,143377,7.440000000000001,1
TMVAX,0.44,11.23,5.42,550,-7.920000000000001,0
AMFEX,0.93,21.32,15.5,165464,-3.110000000000001,0
MADFX,0.65,13.72,10.15,114117,-6.8100000000000005,0
ACRTX,0.46,19.44,10.23,2768,-8.55,0
NAMAX,0.79,17.33,12.73,17304,-4.990000000000001,0
GTTMX,0.63,14.64,8.42,14792,-8.120000000000001,0
SKSZX,0.59,15.42,7.19,2066,-7.85,0
LAFSX,0.54,17.95,15.09,93311,-8.0,0
QCLVX,0.57,15.88,10.42,40662,-8.760000000000002,0
ACCLX,0.46,16.02,10.15,16969,-9.86,0
STRNX,0.5,18.16,12.34,12539,-8.8,0
PTSGX,2.62,61.39,31.89,108768,16.59,1
AMIGX,1.81,26.12,22.31,129545,9.729999999999997,1
MLVGX,0.96,22.64,17.1,97561,-2.47,0
PRUFX,1.78,32.85,23.84,258775,7.809999999999999,1
SEPKX,2.28,52.91,29.36,29536,13.54,1
WEECX,0.65,22.22,14.45,92034,-7.380000000000001,0
EIVTX,0.79,17.18,12.92,107025,-6.060000000000001,0
FVLAX,0.27,13.69,8.49,68687,-11.63,0
TLGAX,1.13,27.52,18.93,35334,-2.1500000000000004,0
FAGAX,3.01,33.7,24.26,121246,26.439999999999994,1
SDVCX,0.67,14.39,10.48,35808,-8.170000000000002,0
BMSVX,0.88,18.36,11.79,15050,-3.5200000000000005,0
SVLCX,0.61,13.52,9.23,60589,-7.82,0
MDDLX,0.54,14.91,10.56,74343,-8.110000000000001,0
BMIIX,0.61,14.75,9.82,53477,-7.23,0
GSIIX,0.69,19.4,13.36,99528,-5.540000000000001,0
TBCIX,1.79,32.58,25.28,281208,7.18,1
VMSGX,1.78,26.85,22.39,17074,7.810000000000002,1
VFFSX,1.26,22.63,16.51,176946,2.08,1
KLCIX,1.77,38.33,23.76,91489,6.850000000000001,1
HMVCX,0.47,16.46,12.54,8695,-9.59,0
RVVRX,0.35,13.08,6.47,1456,-10.11,0
ABECX,0.86,19.37,14.26,153064,-4.440000000000001,0
PMGJX,2.07,34.39,26.05,18989,11.98,1
NEAIX,1.98,27.33,20.86,4199,14.689999999999998,1
FBGRX,2.4,33.98,23.2,158098,17.04,1
STSNX,0.49,17.45,11.31,5813,-7.940000000000001,0
SMLVX,-0.01,21.86,15.65,3419,-13.63,0
CFVLX,0.66,15.11,10.53,68307,-5.610000000000001,0
LCLTX,2.59,31.38,18.63,21902,20.37,1
MFVSX,1.04,20.59,16.57,118460,-2.3000000000000007,0
WGMVX,1.71,29.97,15.97,746,9.939999999999998,1
AMDVX,0.57,16.02,10.15,16969,-7.1400000000000015,0
GLCGX,1.51,27.62,19.82,169369,4.44,1
DSFRX,1.41,25.36,17.35,153720,4.550000000000002,1
SACVX,0.98,22.0,15.97,174708,-3.430000000000001,0
FDSAX,0.16,14.99,10.54,67347,-12.5,0
TSPFX,1.52,41.48,23.33,3382,4.869999999999999,1
CCWRX,2.08,34.31,29.94,114551,9.38,1
MFQTX,0.99,23.86,15.15,82284,-2.490000000000001,0
USPVX,0.76,16.81,10.44,197897,-5.200000000000001,0
RPXIX,2.08,39.27,29.27,131714,10.72,1
EQNVX,0.81,16.02,11.2,120961,-3.4800000000000004,0
MMVYX,0.53,15.99,7.61,2072,-7.57,0
MSGNX,1.87,26.81,16.19,4612,8.959999999999997,1
SSMJX,1.44,21.09,13.49,9282,4.2799999999999985,1
UIAGX,1.72,38.72,27.43,156558,6.079999999999997,1
CAMLX,1.72,30.4,23.15,205981,6.530000000000001,1
IEDIX,0.72,17.73,12.47,53678,-6.040000000000001,0
LVOSX,0.8,19.47,15.3,6988,-3.770000000000001,0
JARTX,1.95,40.86,27.41,233213,9.369999999999996,1
FISSX,0.22,14.32,8.29,3361,-12.07,0
LSCNX,0.44,14.78,8.07,2711,-8.22,0
SAVLX,0.44,14.49,9.32,57460,-9.65,0
FOGIX,1.39,33.53,21.68,12643,3.27,1
POSKX,0.9,18.4,12.53,58342,-2.7300000000000004,0
PESPX,0.87,19.66,11.59,6301,-2.780000000000001,0
WPSZX,1.68,27.95,22.31,100343,6.0,1
ASPIX,1.94,32.75,24.02,189172,9.079999999999998,1
APGAX,1.8,32.34,25.36,166768,8.089999999999996,1
PCSMX,1.89,31.56,20.23,4508,10.73,1
MIDUX,0.82,19.59,13.52,151558,-3.1700000000000013,0
DCURX,0.32,11.76,9.32,47045,-10.07,0
GSPAX,0.89,20.54,15.54,176198,-2.45,0
ALVGX,0.68,18.22,14.03,94888,-6.19,0
DSCVX,0.73,18.0,9.08,3259,-5.420000000000001,0
PGIAX,0.93,22.15,17.28,92824,-4.820000000000001,0
ECSEX,0.99,22.43,14.32,5402,-2.3600000000000003,0
AVUAX,0.56,16.02,10.15,16969,-7.44,0
DHQIX,0.24,11.76,8.51,42638,-10.73,0
FEFAX,0.34,22.95,17.97,190504,-11.68,0
DVEAX,1.86,47.78,32.53,52313,7.190000000000001,1
GGCIX,1.96,36.53,25.71,297888,9.91,1
WBVDX,0.12,17.88,11.47,3333,-12.16,0
GPAFX,0.62,15.01,10.71,40922,-7.550000000000002,0
HUSIX,0.42,12.49,5.46,1476,-9.39,0
EPLBX,0.47,17.24,12.12,80376,-9.29,0
LGOVX,1.93,41.07,25.53,21749,9.46,1
AEIYX,0.63,18.44,13.07,81529,-5.5,0
BMIDX,1.85,36.91,25.85,18434,7.559999999999999,1
MSCFX,0.81,22.49,15.33,2890,-2.7700000000000005,0
AIVSX,0.93,20.09,14.57,165629,-2.84,0
DRIPX,0.89,22.11,14.06,74682,-3.0,0
