Ticker,Dividend Yield (%),Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform
GABEX,0.58,18.2,10.08,28806,-7.94,0
SLGYX,1.47,26.02,18.97,192186,3.67,1
MVCAX,0.72,15.68,9.76,13303,-5.800000000000002,0
HNGSX,1.37,28.4,23.71,161362,2.4199999999999977,1
CMLFX,0.72,18.18,12.53,101581,-4.300000000000002,0
ATFFX,1.99,33.93,24.74,333560,11.09,1
SMDQX,0.89,18.66,15.01,13769,-4.4700000000000015,0
MERBX,1.06,20.97,16.93,18242,-2.9000000000000004,0
IEOHX,1.64,34.62,25.12,170254,6.549999999999998,1
FBGKX,2.41,33.98,23.2,158098,17.249999999999996,1
PEQSX,0.84,16.32,11.99,77240,-3.5800000000000014,0
MSMJX,0.9,21.23,12.48,17004,-2.89,0
NCBVX,0.04,12.24,5.98,11316,-16.4,0
THGRX,1.81,31.15,21.41,149515,8.830000000000002,1
IPSSX,0.61,15.17,7.63,1899,-6.200000000000001,0
WLCIX,0.71,10.01,13.31,59144,-5.23,0
HWVIX,0.53,10.95,5.39,1210,-7.950000000000001,0
MIGBX,1.6,26.36,21.54,162582,4.799999999999997,1
RSQCX,0.29,15.94,10.74,1231,-10.19,0
FTHFX,0.78,13.12,7.65,3172,-3.5200000000000014,0
NGDCX,1.58,27.27,21.75,124831,4.389999999999999,1
LGOQX,1.87,41.07,25.53,21749,8.009999999999998,1
MCMYX,1.05,24.8,17.3,7057,-2.039999999999999,0
VSCAX,0.79,12.62,5.64,3131,-9.21,0
SDSCX,2.63,48.92,25.32,10701,19.76,1
WBSRX,1.69,22.23,16.6,2593,8.09,1
SSMAX,0.87,16.24,9.79,4313,-2.460000000000001,0
JAMRX,1.71,32.43,23.1,196427,7.1099999999999985,1
VAFCX,1.87,31.89,20.63,154246,7.079999999999997,1
BMDSX,1.8,34.26,28.32,18314,7.75,1
AFYCX,0.79,20.79,17.41,133434,-5.44,0
WEEIX,0.69,22.22,14.45,92034,-6.420000000000001,0
SSCVX,0.65,15.49,8.41,3587,-6.9700000000000015,0
VCBCX,1.77,32.34,24.88,284211,6.580000000000003,1
VPMAX,1.23,21.23,13.91,108801,2.0699999999999985,1
JVTCX,1.49,28.41,16.89,4014,3.169999999999998,1
ESEAX,1.4,25.65,21.66,41817,2.3899999999999992,1
DCSVX,0.32,12.12,5.65,1675,-11.16,0
ACSRX,0.46,13.89,7.01,50662,-10.09,0
ARIMX,0.9,5.04,7.13,3429,-4.28,0
WWSAX,0.89,16.21,7.23,1790,-4.0200000000000005,0
GTILX,1.33,20.33,15.1,67041,2.5,1
ELFNX,1.53,24.74,18.98,209743,5.09,1
BASMX,1.27,22.24,15.93,102497,2.089999999999998,1
PSLBX,0.41,13.53,6.58,1099,-11.08,0
DPSRX,0.46,19.17,10.79,6638,-8.49,0
JTUCX,0.85,13.04,5.69,1648,-3.49,0
BITSX,1.28,22.24,15.93,102497,2.549999999999999,1
SSEFX,0.7,18.15,7.5,4919,-7.100000000000001,0
ESGGX,0.66,17.14,10.23,37852,-6.3100000000000005,0
SAGYX,1.09,18.58,12.4,35512,-2.3600000000000008,0
FDGCX,0.66,17.67,12.18,70349,-7.260000000000002,0
LMVTX,0.77,12.31,8.24,39618,-6.710000000000001,0
JVSAX,0.53,15.82,8.18,3582,-7.950000000000001,0
VVIAX,0.7,16.44,11.44,93077,-5.170000000000001,0
RWEBX,0.84,18.07,12.6,117267,-4.190000000000001,0
EMICX,1.59,26.36,21.54,162582,4.68,1
THCGX,1.79,31.15,21.41,149515,8.080000000000002,1
LMPRX,1.03,18.58,12.4,35512,-3.640000000000001,0
STAFX,1.77,35.52,25.59,226787,5.649999999999999,1
SCIUX,0.12,14.67,8.83,35753,-11.24,0
PEGEX,1.8,39.36,27.17,22953,8.059999999999999,1
FAIVX,0.67,14.36,9.43,50851,-5.590000000000002,0
ZDIIX,0.57,16.47,10.74,106629,-7.330000000000001,0
TSLRX,0.49,13.41,6.05,2061,-8.98,0
GSSSX,0.46,17.09,9.48,3047,-8.99,0
QRLVX,0.6,15.88,10.42,40662,-8.0,0
UBVVX,0.62,13.01,7.19,2796,-7.620000000000001,0
FDERX,0.51,20.69,12.91,56490,-9.15,0
ECLCX,1.75,29.28,22.34,200103,5.799999999999998,1
CSDGX,0.9,20.94,12.55,5554,-2.119999999999999,0
DHMIX,0.61,15.94,9.91,5217,-7.07,0
NUESX,1.28,20.97,15.69,130193,2.3200000000000003,1
WECRX,2.03,34.27,24.58,178923,10.549999999999997,1
SGICX,1.01,27.67,19.03,63226,-3.24,0
AGWUX,1.82,34.83,25.41,280056,8.77,1
MSLVX,0.63,18.62,13.61,63197,-6.870000000000001,0
HSLSX,1.53,23.53,15.83,3893,3.78,1
IHSSX,2.24,27.15,15.79,4595,14.509999999999998,1
BIMFX,0.81,18.25,12.78,44032,-3.1800000000000006,0
VALAX,0.88,15.91,9.54,48967,-3.7200000000000006,0
IRGJX,1.72,32.26,24.58,21281,7.2600000000000025,1
ICMAX,0.65,23.36,15.52,4386,-3.940000000000001,0
JUEMX,1.43,21.89,17.67,148814,3.9599999999999986,1
EACVX,0.72,15.68,9.76,13303,-5.870000000000001,0
WFPRX,0.77,16.83,11.07,14716,-5.19,0
TVSVX,0.29,13.53,6.73,1372,-10.17,0
COLEX,0.45,15.47,10.08,61757,-9.2,0
VSTCX,0.74,13.57,6.08,2273,-4.050000000000002,0
FAMVX,0.89,22.52,19.22,26217,-4.16,0
UCNQX,2.1,30.3,21.86,332781,12.03,1
AEIUX,0.62,18.44,13.07,81529,-5.830000000000001,0
GSPPX,1.96,33.28,26.47,235542,10.65,1
CHCYX,2.07,35.66,24.79,9057,12.549999999999995,1
TRZAX,0.81,18.32,14.56,92085,-2.5600000000000005,0
DNSMX,2.77,27.02,18.28,4349,25.06,1
OTCBX,1.85,39.11,29.43,21470,6.9899999999999975,1
DTMVX,0.45,12.82,6.52,2782,-8.39,0
SASWX,0.75,14.64,9.21,1257,-4.15,0
OVEIX,0.71,15.44,8.8,10378,-7.300000000000002,0
WPSKX,1.65,27.95,22.31,100343,5.33,1
SSCPX,0.99,13.79,8.38,2901,-2.200000000000001,0
AGTHX,1.67,28.98,21.3,144040,6.639999999999998,1
WGFCX,2.19,44.5,27.9,76348,11.52,1
PNASX,1.81,31.56,20.23,4508,8.759999999999998,1
JGISX,1.48,22.97,17.11,201243,4.3599999999999985,1
MRAEX,1.84,27.09,13.9,34835,5.969999999999999,1
NQVRX,0.56,14.98,10.01,17934,-7.630000000000001,0
TGWTX,2.57,40.93,27.58,135278,18.67,1
FDFKX,1.43,32.43,23.49,205972,2.33,1
ODGIX,1.78,35.27,24.64,242747,7.940000000000001,1
JSVZX,0.47,11.61,5.12,1593,-8.0,0
LGOTX,1.92,41.07,25.53,21749,9.329999999999998,1
SAUMX,0.75,16.57,9.74,3808,-4.54,0
DRTCX,1.43,22.79,19.92,188676,4.57,1
VDSIX,0.88,17.94,14.33,72465,-3.0700000000000003,0
TGVCX,1.76,27.35,22.48,143945,6.1400000000000015,1
TWHIX,1.9,36.07,27.11,22882,8.969999999999997,1
HGOTX,2.31,39.86,25.43,89863,14.459999999999996,1
JDESX,1.28,20.79,15.41,171812,2.26,1
HRCUX,1.46,24.86,19.39,248809,4.42,1
HRCYX,1.42,24.86,19.39,248809,3.5,1
QUASX,2.29,32.67,20.7,4555,16.91,1
UBVRX,0.57,13.01,7.19,2796,-8.930000000000003,0
SFLNX,0.92,16.33,9.82,77804,-2.0200000000000014,0
LMVRX,0.8,12.31,8.24,39618,-6.020000000000001,0
VITNX,1.29,22.25,15.87,99968,2.75,1
VYCIX,0.97,17.42,11.48,134945,-2.210000000000001,0
LRSVX,0.48,13.53,9.16,2302,-8.360000000000001,0
VMFVX,0.68,16.02,8.23,4875,-5.120000000000001,0
NBHRX,0.51,20.0,13.2,59896,-6.920000000000001,0
RPRRX,0.99,23.15,17.83,4361,-3.530000000000001,0
UISCX,1.27,15.93,9.72,2610,2.369999999999999,1
PPVIX,0.54,13.39,7.1,2203,-7.510000000000002,0
GOWLX,0.93,20.79,14.75,85230,-4.010000000000002,0
NEXTX,2.92,27.58,19.87,20198,28.87,1
IDHCX,0.42,13.73,9.6,96053,-8.690000000000001,0
OPOCX,2.13,35.02,22.34,5248,13.579999999999998,1
JGTTX,2.2,30.1,24.11,128578,13.689999999999998,1
WHGMX,0.74,17.78,10.83,4737,-4.8900000000000015,0
GLSRX,1.5,32.82,24.86,6298,5.059999999999999,1
JNRFX,1.72,32.43,23.1,196427,7.309999999999999,1
NBNGX,1.52,25.6,18.24,20765,3.9899999999999984,1
SSPGX,1.82,26.02,21.9,277608,9.06,1
WLVDX,0.76,24.51,17.14,33482,-3.450000000000001,0
GEQYX,1.26,22.85,16.31,173966,2.03,1
JVAPX,0.52,15.58,9.78,42966,-8.46,0
PFGKX,1.63,27.52,22.33,191977,6.300000000000002,1
AULYX,2.21,38.1,25.99,304076,13.479999999999995,1
VBCVX,0.35,14.33,10.65,49147,-10.49,0
OINCX,0.69,18.57,13.89,90410,-6.6400000000000015,0
LMCPX,0.42,16.67,11.75,11132,-9.13,0
DBMAX,2.61,48.92,25.32,10701,19.22,1
SABTX,0.42,14.49,9.32,57460,-10.08,0
CGJIX,1.94,28.36,21.71,173152,10.98,1
WEMMX,0.51,18.25,8.68,651,-7.04,0
ALVCX,0.59,15.04,10.34,57742,-9.31,0
JANEX,1.52,23.75,17.59,15538,3.6599999999999984,1
ANFVX,0.16,11.55,9.9,3571,-12.72,0
DFDSX,1.87,46.36,24.23,4457,9.27,1
RIVEX,2.05,45.14,28.06,41086,11.959999999999996,1
VPMOX,1.67,32.42,23.26,21313,7.68,1
BFTIX,2.18,54.12,32.57,113326,12.55,1
JAPAX,0.57,17.88,11.24,48235,-7.44,0
VAGGX,1.88,47.78,32.53,52313,7.73,1
WFMIX,0.76,16.83,11.07,14716,-5.3900000000000015,0
ALFAX,1.24,17.08,12.19,3517,-3.0600000000000005,0
ESPIX,0.57,15.1,9.18,2144,-6.9700000000000015,0
KDHTX,0.54,13.27,10.43,46523,-7.090000000000002,0
MRBVX,0.61,13.22,8.52,47409,-7.82,0
JCSCX,0.18,15.64,8.53,2429,-11.87,0
AVUGX,0.62,15.13,9.32,59084,-7.080000000000001,0
ASVYX,0.87,14.86,7.58,2270,-3.450000000000001,0
CWMEX,0.86,18.07,12.6,117267,-3.7500000000000013,0
PASVX,0.84,16.17,9.63,2626,-3.4000000000000004,0
NSMAX,0.45,14.8,9.73,4346,-8.780000000000001,0
RMOMX,1.52,41.75,27.34,19951,3.2899999999999987,1
EGOCX,0.74,16.71,13.02,86552,-6.610000000000001,0
DCFGX,2.39,48.17,32.36,182201,11.739999999999998,1
CAVYX,1.03,18.55,13.01,48557,-2.2700000000000014,0
MBCZX,1.73,30.95,24.15,241308,6.41,1
TASCX,0.31,13.53,6.73,1372,-9.66,0
PEVAX,0.75,12.38,5.88,2507,-5.75,0
ASVIX,0.84,14.86,7.58,2270,-4.15,0
RICEX,0.92,20.09,14.57,165629,-2.9400000000000004,0
SKSEX,0.57,15.42,7.19,2066,-8.370000000000001,0
HSCCX,1.41,31.88,17.68,5428,2.17,1
PSGIX,1.75,25.46,15.05,3274,9.34,1
MLVMX,0.96,22.64,17.1,97561,-2.46,0
MFUZX,0.51,15.48,10.35,47535,-8.47,0
FTVNX,0.76,15.16,9.4,11300,-5.57,0
JLGMX,2.4,32.2,24.93,152879,16.47,1
DDZRX,0.6,14.09,10.36,71963,-7.710000000000001,0
SMITX,2.02,32.6,16.45,95897,10.79,1
LMVWX,0.93,10.77,6.95,1899,-4.080000000000001,0
PKAIX,0.71,14.6,7.67,64807,-4.370000000000001,0
MGNDX,1.7,30.15,22.86,321684,7.41,1
VCSMX,1.3,20.12,11.17,3219,2.879999999999999,1
GCSUX,0.82,12.77,6.35,1680,-3.490000000000001,0
OFALX,0.85,15.9,11.2,45534,-5.630000000000001,0
VVPSX,0.76,16.89,9.54,2046,-6.300000000000002,0
STDFX,1.77,35.52,25.59,226787,5.879999999999999,1
JCMVX,0.46,16.53,9.49,14611,-9.46,0
RBCGX,1.75,36.29,23.99,130082,6.460000000000001,1
MSAJX,0.57,16.47,8.51,8462,-8.99,0
PQMAX,0.33,16.61,11.82,54474,-11.84,0
VACVX,0.64,15.85,12.0,49876,-6.950000000000001,0
FUNYX,1.62,27.52,22.33,191977,6.089999999999996,1
IEDZX,0.72,17.73,12.47,53678,-6.010000000000002,0
CDVZX,0.74,17.51,12.4,78571,-5.790000000000001,0
PEUCX,0.79,19.32,13.96,79172,-5.250000000000001,0
IAMOX,1.59,32.41,23.25,21320,4.57,1
LSVEX,0.38,11.22,6.83,23833,-9.79,0
HWMIX,0.34,10.96,4.81,6389,-14.34,0
VSMIX,0.81,12.62,5.64,3131,-8.71,0
BRSNX,0.8,15.93,8.75,3031,-3.950000000000001,0
CEARX,1.44,27.58,21.36,7880,3.719999999999999,1
HSLVX,1.56,23.53,15.83,3893,4.66,1
DCCIX,0.95,17.12,9.98,2805,-2.09,0
TRSSX,1.56,21.01,14.18,4560,6.449999999999998,1
PYEQX,0.54,17.47,12.34,36804,-7.300000000000002,0
MAFGX,1.95,38.48,27.29,228991,9.16,1
DFTSX,0.7,15.23,8.59,2271,-4.3100000000000005,0
PLGIX,1.95,33.36,25.09,173751,9.43,1
MMAZX,2.27,55.11,31.85,117961,12.659999999999995,1
TORYX,0.28,16.75,9.65,91736,-11.670000000000002,0
CSMFX,1.03,20.83,15.95,14701,-2.8500000000000014,0
UBVSX,0.61,13.01,7.19,2796,-7.920000000000001,0
SBLGX,1.67,27.29,22.82,202379,5.27,1
CSVYX,0.54,13.68,6.67,1315,-7.3900000000000015,0
VOLMX,0.57,22.55,15.95,57793,-8.27,0
WSHFX,0.87,18.07,12.6,117267,-3.29,0
IEOPX,1.59,34.62,25.12,170254,5.25,1
VRNIX,1.31,22.81,16.51,132617,2.7099999999999986,1
SSVIX,0.67,15.49,8.41,3587,-6.300000000000002,0
ALFCX,1.18,17.08,12.19,3517,-3.1000000000000005,0
ABIZX,0.23,16.96,10.81,10046,-11.84,0
MOTLX,1.78,30.77,23.8,18099,6.709999999999997,1
HASGX,1.82,25.5,17.12,5089,8.29,1
DHMCX,0.52,15.94,9.91,5217,-9.19,0
BCSIX,2.0,42.85,32.23,7508,10.38,1
MBCYX,1.71,30.95,24.15,241308,5.960000000000001,1
CGFEX,1.64,28.98,21.3,144040,6.039999999999999,1
GTMEX,0.22,14.27,10.6,35973,-12.19,0
CGQYX,1.47,23.38,17.54,172135,4.57,1
HNMVX,0.27,11.21,6.01,7314,-11.82,0
LRSYX,0.47,13.53,9.16,2302,-8.540000000000001,0
ACGIX,0.52,15.94,8.28,48536,-9.41,0
LGPSX,1.46,25.33,19.9,249572,2.1500000000000004,1
PBCKX,1.99,35.33,26.59,229658,9.96,1
PJGCX,0.25,17.68,14.86,108824,-13.04,0
BUIMX,1.68,33.23,21.2,16879,6.27,1
GGRCX,1.86,33.28,26.47,235542,8.11,1
KCSIX,0.79,11.59,9.12,2465,-5.37,0
PMSSX,0.83,19.67,11.59,6301,-3.8800000000000012,0
ITEAX,0.56,16.23,10.77,57202,-8.290000000000001,0
NDVUX,0.86,14.56,7.14,3101,-3.66,0
LAFVX,0.56,17.95,15.09,93311,-7.340000000000002,0
RTOUX,0.99,13.77,10.08,3887,-2.0,0
WHGAX,0.55,17.67,10.42,2124,-6.830000000000001,0
HGIYX,1.38,23.16,19.29,161048,3.2300000000000004,1
FSCEX,0.87,16.85,9.68,3324,-4.090000000000002,0
ABSRX,0.38,14.98,8.23,4284,-10.49,0
MSCOX,3.9,63.48,55.74532297249879,2789,47.61,1
MMQFX,0.72,16.97,9.44,2456,-6.780000000000001,0
EQNRX,0.72,16.02,11.2,120961,-5.73,0
HDGTX,0.89,17.56,13.32,127421,-3.4200000000000013,0
LOMAX,0.47,13.64,9.95,98577,-8.040000000000001,0
USMIX,1.43,19.99,12.33,6459,4.409999999999998,1
MEPSX,0.39,15.63,9.41,57293,-9.58,0
LGRRX,1.59,28.73,22.55,204223,4.569999999999999,1
LFVCX,0.84,10.77,6.95,1899,-6.32,0
BCMIX,2.09,43.96,28.83,19969,10.79,1
LCBOX,0.96,20.5,15.87,153878,-2.67,0
TGWFX,2.56,40.93,27.58,135278,18.18,1
HQIRX,0.62,17.67,13.97,99596,-7.060000000000001,0
FTXCX,1.91,25.61,17.5,4140,10.639999999999997,1
RSSYX,1.6,36.71,25.15,8791,5.289999999999999,1
TWRCX,1.72,34.83,25.41,280056,6.150000000000002,1
LBGIX,1.83,35.9,25.61,22858,8.239999999999998,1
ACSLX,1.65,32.73,24.02,329187,5.229999999999999,1
VEXMX,1.45,20.34,13.03,7270,4.93,1
QGIAX,1.33,21.59,18.96,249853,2.599999999999998,1
DAGVX,0.66,16.29,12.37,49047,-7.08,0
EQNCX,0.72,16.02,11.2,120961,-5.75,0
MPINX,0.34,15.63,9.41,57293,-10.77,0
SCCVX,0.4,15.61,7.05,1908,-10.2,0
BRSBX,0.74,15.93,8.75,3031,-5.440000000000001,0
SVAYX,0.42,13.9,8.75,54824,-9.0,0
NDVIX,0.86,14.56,7.14,3101,-3.6800000000000006,0
CHCKX,2.04,35.66,24.79,9057,11.73,1
AULGX,2.19,38.1,25.99,304076,13.14,1
HYBUX,0.49,13.85,9.7,3376,-9.38,0
FSGRX,1.98,23.41,13.83,3833,10.900000000000002,1
PEINX,0.82,19.32,13.96,79172,-4.48,0
MVRRX,0.65,18.09,14.75,93338,-7.1800000000000015,0
SVTIX,0.44,14.84,9.79,39917,-7.6400000000000015,0
IYSIX,1.67,30.87,17.12,4520,7.689999999999998,1
PHPPX,2.07,34.39,26.05,18989,11.98,1
ECTMX,1.0,20.75,15.94,193762,-2.99,0
CRBRX,1.44,27.58,21.36,7880,3.78,1
LEGCX,1.65,28.51,21.99,227999,5.41,1
IDHIX,0.5,13.73,9.6,96053,-6.6400000000000015,0
ABCIX,0.95,19.37,14.26,153064,-2.200000000000001,0
RCOCX,0.55,15.01,10.71,40922,-9.18,0
ACLCX,0.52,15.13,9.32,59084,-9.48,0
PHSKX,2.81,53.0,32.14,17390,19.73,1
JSSGX,1.98,50.83,31.33,42966,10.84,1
LMBHX,0.72,12.31,9.14,42657,-5.850000000000001,0
FGIZX,0.85,16.3,11.73,95510,-3.6700000000000013,0
MNDRX,2.16,28.86,19.55,4364,13.81,1
FHMCX,1.06,19.06,10.86,3184,-2.4800000000000004,0
FAVCX,0.58,14.36,9.43,50851,-7.870000000000001,0
SSMHX,1.36,20.35,13.26,7175,3.43,1
JHJIX,1.36,23.67,17.81,130873,2.92,1
ASVGX,0.86,14.86,7.58,2270,-3.7500000000000013,0
PMFSX,0.87,19.67,11.59,6301,-2.8300000000000014,0
PXSCX,0.62,16.08,9.71,1898,-4.7200000000000015,0
JUEAX,1.39,21.89,17.67,148814,2.890000000000001,1
GEGTX,1.74,28.51,21.99,227999,7.600000000000001,1
JVTNX,1.58,28.41,16.89,4014,5.460000000000001,1
HRSCX,1.47,31.88,17.68,5428,3.67,1
LMCFX,0.45,16.67,11.75,11132,-8.39,0
AZBCX,0.91,18.1,9.9,3000,-2.890000000000001,0
AAGPX,0.64,15.04,10.34,57742,-7.840000000000002,0
JVMIX,0.67,16.55,10.83,15038,-6.8900000000000015,0
GFVRX,0.8,23.39,17.73,105210,-5.280000000000001,0
BADAX,0.85,18.91,14.85,140220,-3.9700000000000006,0
EPLIX,0.53,17.24,12.12,80376,-7.780000000000001,0
RMDCX,2.0,36.44,26.15,17283,9.989999999999998,1
VYMUX,0.75,17.13,10.0,7018,-3.66,0
VSFAX,0.49,13.04,7.34,2128,-8.74,0
MLUZX,0.54,16.03,10.15,16957,-7.790000000000001,0
BCEGX,0.91,16.72,12.91,92978,-4.9700000000000015,0
CSSVX,1.55,26.75,17.7,3188,6.399999999999999,1
GFVSX,0.85,23.39,17.73,105210,-4.050000000000002,0
FOCKX,2.11,31.7,24.61,248758,12.9,1
HLIEX,0.76,18.57,13.89,90410,-5.07,0
BUYCX,0.4,16.51,10.69,32802,-11.34,0
FCVTX,0.58,10.35,5.44,2613,-6.58,0
BMGAX,2.17,47.56,30.23,19574,10.829999999999998,1
ISCGX,1.52,41.48,23.33,3382,4.8599999999999985,1
SMFAX,1.95,35.93,24.93,22126,8.27,1
JAVTX,1.56,28.41,16.89,4014,4.93,1
RSCCX,1.76,27.3,17.41,3638,6.1099999999999985,1
CRISX,0.42,20.06,7.6,1630,-9.0,0
BIOPX,3.16,55.04,30.4,67411,27.7,1
FGIKX,0.86,16.3,11.74,95898,-3.5000000000000013,0
JSJAX,1.16,25.6,14.38,3703,2.429999999999998,1
RTRRX,0.48,15.05,11.28,3281,-8.42,0
ALVAX,0.64,15.04,10.34,57742,-7.940000000000001,0
WSACX,0.73,29.43,20.3,89481,-5.300000000000002,0
CBBRX,0.64,14.86,10.97,40460,-6.82,0
RMFGX,0.73,18.18,12.53,101581,-4.020000000000001,0
RIVCX,0.5,14.39,8.3,12583,-9.19,0
EIVCX,0.75,17.18,12.92,107025,-7.110000000000001,0
PMBJX,1.46,23.06,20.49,22908,2.379999999999999,1
ATFPX,2.0,33.93,24.74,333560,11.29,1
FEXPX,0.42,26.28,19.92,258025,-9.65,0
DHTCX,0.98,13.53,10.56,12247,-5.07,0
DHSMX,0.27,16.4,11.45,3906,-12.3,0
PBEAX,0.57,16.93,13.0,89477,-8.040000000000001,0
FKARX,1.99,43.46,30.21,133080,9.16,1
ASIMX,2.39,46.01,27.79,4568,16.27,1
SUSYX,0.59,15.24,10.3,39316,-5.860000000000001,0
GGLIX,1.48,29.73,24.04,41349,3.61,1
LEVOX,0.95,24.61,18.27,66029,-3.04,0
FEIQX,0.81,18.9,12.58,137844,-4.250000000000001,0
AATIX,0.81,10.72,8.9,3998,-5.280000000000001,0
TRGOX,1.91,30.73,22.96,252665,9.41,1
NMUAX,1.03,22.18,15.08,115344,-2.5900000000000007,0
DTLGX,1.72,31.3,23.67,263654,6.3599999999999985,1
BIGRX,0.85,16.79,11.89,62977,-3.7900000000000014,0
USGIX,0.88,24.29,17.51,104980,-4.25,0
DGMIX,0.21,12.91,6.88,563,-10.4,0
FASOX,0.79,13.55,7.81,9953,-5.020000000000001,0
TIMVX,0.36,13.95,9.35,12866,-9.65,0
MVCJX,0.74,15.68,9.76,13303,-5.300000000000002,0
FALGX,0.88,16.11,11.34,97490,-4.210000000000001,0
STSIX,1.82,33.0,22.01,4256,8.739999999999998,1
APGZX,1.83,32.34,25.36,166768,8.8,1
DSEPX,1.39,25.36,17.35,153720,3.92,1
CPEIX,0.88,27.89,16.88,67784,-3.58,0
PVEYX,0.77,12.38,5.88,2507,-5.280000000000001,0
SPRAX,0.11,12.24,5.98,11316,-14.830000000000002,0
LYRBX,0.6,11.1,5.54,13536,-11.08,0
PMSGX,2.02,34.39,26.05,18989,10.61,1
TAAGX,1.36,30.86,21.0,13320,2.26,1
FSLVX,0.64,16.38,11.14,55606,-6.5900000000000025,0
JDPRX,0.43,17.7,11.1,10030,-9.23,0
LVAVX,0.38,12.78,7.99,48020,-9.55,0
NMGAX,1.74,40.69,24.44,19946,7.030000000000001,1
IMOZX,1.61,32.42,23.26,21313,5.239999999999998,1
GCVCX,0.4,15.52,11.21,42444,-10.87,0
QASCX,0.85,13.01,5.8,1587,-4.4700000000000015,0
NSMCX,0.39,14.8,9.73,4346,-10.3,0
CHCIX,2.07,35.66,24.79,9057,12.5,1
EDFWX,0.52,15.56,10.5,27220,-8.15,0
ABMAX,0.44,12.96,6.84,8740,-11.77,0
FAQIX,0.44,15.15,12.17,55947,-9.66,0
FTHNX,0.75,13.12,7.65,3172,-4.3100000000000005,0
APWVX,0.81,20.63,13.48,13478,-3.870000000000001,0
BLYRX,1.59,25.9,16.86,64443,4.49,1
LRSPX,0.43,13.53,9.16,2302,-9.44,0
SDGTX,1.89,31.36,26.27,167400,9.71,1
SGRKX,2.23,44.5,27.9,76348,13.009999999999998,1
GWPDX,1.28,23.57,18.94,90716,2.379999999999999,1
MXMVX,0.39,16.16,8.52,9957,-10.39,0
TMDPX,1.72,28.71,22.42,20179,6.330000000000003,1
CAAIX,0.67,14.29,10.69,12220,-6.44,0
CSERX,0.69,13.52,9.23,60589,-5.78,0
BBVLX,0.89,16.47,11.58,57173,-3.8000000000000007,0
TSRPX,0.86,12.42,8.7,2246,-2.54,0
GBCIX,0.74,17.59,10.87,51218,-6.090000000000002,0
VSRAX,0.77,12.62,5.64,3131,-9.14,0
VGRIX,0.74,17.41,13.83,89809,-6.050000000000002,0
NSPCX,0.97,21.73,14.22,3443,-3.5500000000000007,0
BMCAX,1.71,32.21,24.55,247482,6.689999999999998,1
ASERX,1.69,32.73,24.02,329187,6.32,1
ALLIX,1.82,32.34,25.36,166768,8.599999999999998,1
FFQBX,2.24,52.92,30.45,213301,14.179999999999994,1
LADRX,2.72,37.43,25.73,5286,23.100000000000005,1
BSVSX,0.23,15.45,12.23,2964,-10.87,0
IPEIX,0.73,17.73,12.47,53629,-5.760000000000002,0
FSSZX,1.28,15.19,10.6,3150,2.2199999999999993,1
DUZRX,1.79,47.32,28.5,136998,6.6099999999999985,1
RSQAX,0.91,16.75,11.75,90894,-3.4200000000000013,0
MFUYX,0.5,15.48,10.35,47535,-8.850000000000003,0
PXSIX,0.64,16.08,9.71,1898,-4.200000000000001,0
RSDFX,0.6,15.29,11.38,86820,-6.250000000000001,0
RICGX,0.95,20.09,14.57,165629,-2.210000000000001,0
HWVAX,0.51,10.95,5.39,1210,-8.430000000000001,0
MMCMX,1.35,23.56,14.29,6986,2.28,1
MCBAX,0.57,13.22,8.52,47409,-8.8,0
BFONX,1.71,38.09,22.9,90325,6.029999999999998,1
ITETX,0.57,16.23,10.77,57202,-7.86,0
CGRGX,1.28,23.57,18.94,90716,2.129999999999999,1
PAVLX,0.77,18.32,14.56,92085,-4.400000000000001,0
PCVCX,0.06,11.55,9.9,3571,-15.0,0
NASDX,2.16,30.69,22.13,381962,13.939999999999998,1
LZFOX,0.66,13.0,7.79,22585,-7.73,0
VEXRX,1.72,25.44,13.48,5739,7.899999999999999,1
AVEGX,1.46,27.09,22.98,45379,3.129999999999999,1
ALCPX,0.56,19.79,15.73,64861,-8.14,0
MSERX,1.89,26.81,16.19,4612,9.509999999999998,1
MVUSX,0.5,15.48,10.35,47535,-8.64,0
HVOTX,0.68,16.89,13.05,85125,-6.130000000000001,0
AISZX,2.39,45.88,25.03,7887,17.869999999999994,1
ATDCX,0.22,12.79,11.19,8976,-13.72,0
RVPHX,1.71,29.2,19.16,1451,10.57,1
FDFIX,1.25,21.61,15.85,165670,2.1,1
JSCBX,0.4,15.24,8.54,1803,-9.56,0
CDDYX,0.9,18.78,14.28,120837,-2.3500000000000014,0
PEICX,0.48,16.93,13.0,89477,-10.4,0
NBMRX,0.27,14.06,8.51,9969,-12.37,0
ELCIX,1.83,29.28,22.34,200103,7.979999999999998,1
IICAX,0.92,19.15,12.76,155937,-3.98,0
JGMNX,1.51,26.17,15.83,5791,3.549999999999999,1
JISCX,0.23,15.64,8.53,2429,-10.73,0
BNSCX,2.22,31.51,14.35,3699,12.8,1
PFDEX,0.66,19.97,14.72,73969,-6.7700000000000005,0
PAMCX,1.47,24.89,21.96,18539,3.24,1
CMGVX,1.72,32.22,26.56,18646,7.3599999999999985,1
HHDFX,0.61,15.14,9.76,38930,-6.49,0
PBLCX,1.9,35.33,26.59,229658,7.710000000000001,1
CVCFX,0.57,18.96,14.7,79485,-9.36,0
HVOVX,0.69,16.89,13.05,85125,-5.660000000000001,0
