Ticker,ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,"Closed to New Investors (Yes=1, No=0)",3-year Annualized Return vs. S&P500,Outperform / Underperform
FSSKX,17.66,43.14,524,25.51,0,2.16,1
MCFOX,30.85,43.45,46,46.84,0,8.580000000000002,1
PEQLX,19.73,51.57,92,25.41,0,-3.8000000000000007,0
CVQZX,18.4,47.62,96,23.52,0,-9.170000000000002,0
MMERX,-2.27,42.18,146,11.18,0,-10.97,0
LFEIX,14.83,46.51,73,25.74,0,-9.35,0
CVAAX,22.95,44.66,59,37.18,0,-2.210000000000001,0
JDVVX,13.45,43.73,92,26.16,0,-8.420000000000002,0
CHDRX,18.51,49.67,44,31.64,0,-10.18,0
PFPRX,20.52,38.99,46,34.07,0,2.039999999999999,1
IMOWX,8.95,45.01,68,25.87,0,4.899999999999999,1
HDGIX,20.81,46.77,75,29.96,0,-3.390000000000001,0
TILIX,34.56,45.05,450,43.63,0,10.509999999999998,1
WESWX,17.48,42.35,47,28.72,0,-6.9300000000000015,0
AMCSX,2.21,48.49,124,18.37,0,-12.15,0
BWLIX,16.57,45.66,104,15.96,0,-10.920000000000002,0
NOIEX,36.09,52.62,133,29.4,0,-2.9399999999999995,0
TSVAX,1.75,42.61,329,9.06,0,-12.23,0
PKAPX,24.64,54.86,384,25.53,0,-4.58,0
TNVCX,0.5,46.75,145,24.27,0,-5.7200000000000015,0
ISPVX,0.36,41.94,64,29.91,0,-3.94,0
CDORX,21.88,51.22,82,31.4,0,-6.380000000000001,0
TCRAX,28.23,40.35,82,53.59,0,7.789999999999999,1
APHMX,-0.4,31.15,72,29.57,0,14.07,1
ARSMX,6.65,42.69,59,35.51,0,-4.780000000000001,0
CSXRX,26.35,45.92,792,25.75,0,4.9700000000000015,1
VMGRX,11.33,45.19,168,16.82,0,6.309999999999999,1
NBMVX,-4.83,37.83,99,18.32,1,14.97,1
FOGPX,11.21,42.17,88,20.4,0,6.4899999999999975,1
CHHRX,-2.98,34.93,94,25.2,0,22.89,1
QSVIX,5.02,47.32,39,46.89,0,-14.73,0
DSGYX,0.08,35.24,370,9.3,0,6.920000000000003,1
THCRX,19.27,39.26,43,47.92,0,7.710000000000001,1
BFGIX,-0.26,43.66,26,77.71,0,34.28999999999999,1
MLPSX,6.39,43.64,299,10.53,0,-10.5,0
GUESX,10.24,42.96,43,31.81,1,3.639999999999999,1
FDEGX,24.87,39.87,119,21.86,0,4.599999999999998,1
MSVZX,3.56,41.2,191,12.21,0,-7.170000000000001,0
SNWAX,-1.79,43.75,48,38.11,0,-6.53,0
TWUIX,30.27,42.76,63,52.32,0,13.15,1
AMCCX,2.21,48.49,124,18.37,0,-13.21,0
SSLCX,7.01,42.89,96,24.53,0,-3.3800000000000012,0
DNFGX,24.33,39.89,33,52.41,0,14.02,1
WEGRX,-3.06,34.62,95,25.22,0,16.33,1
BGGKX,4.39,30.12,45,50.9,0,35.69,1
CRMSX,0.8,43.82,45,36.33,0,-9.46,0
INSCX,3.24,34.07,33,56.51,0,-4.94,0
STMPX,7.62,40.17,603,11.77,0,-5.090000000000002,0
DEUCX,15.24,45.82,32,51.77,0,3.9499999999999993,1
CSMCX,13.18,22.74,41,34.43,0,9.97,1
RSMOX,5.27,41.36,86,24.86,0,2.630000000000001,1
SMDPX,16.31,44.66,32,50.71,0,-2.9400000000000004,0
JVTIX,-0.84,34.17,136,19.87,1,5.27,1
JBSOX,3.72,33.08,90,19.73,0,-2.6100000000000003,0
RGWFX,18.28,40.72,6,100.01,0,2.28,1
PEQRX,19.73,51.57,92,25.41,0,-4.840000000000002,0
JCICX,35.45,46.87,89,43.29,0,2.2199999999999993,1
ACSHX,9.82,46.41,83,25.49,0,-8.950000000000003,0
SEEKX,26.98,43.4,478,20.99,0,-2.3200000000000003,0
JAAGX,13.94,43.53,85,22.7,0,3.7399999999999984,1
NOSGX,5.38,35.64,554,9.02,0,-9.11,0
LAUAX,2.4,31.31,88,18.51,0,5.349999999999998,1
IMOPX,8.98,45.02,68,25.86,0,4.789999999999997,1
OLVCX,6.52,50.48,77,29.58,0,-7.75,0
NBGAX,22.34,29.3,104,21.86,0,2.3599999999999994,1
TWCAX,30.81,42.53,56,57.74,0,6.8599999999999985,1
LMGCX,7.15,42.42,100,19.25,0,7.119999999999997,1
IMCGX,18.89,39.94,35,39.99,0,2.3199999999999985,1
ASLWX,30.81,42.53,56,57.74,0,8.18,1
BGFIX,24.25,40.11,58,44.16,0,9.689999999999998,1
WWLCX,19.72,39.85,46,28.91,0,-5.4,0
EVSTX,28.72,44.26,170,28.68,0,-3.16,0
EQPGX,22.34,36.29,180,45.29,0,11.43,1
BGGSX,4.39,30.12,45,50.9,0,35.5,1
SPWCX,5.07,33.17,95,19.91,0,6.419999999999997,1
IRLUX,29.27,45.64,198,32.42,0,2.18,1
TSFYX,13.95,42.22,33,44.26,0,-4.260000000000002,0
CMLCX,24.68,48.98,175,23.07,0,-6.3100000000000005,0
TVOIX,5.01,41.19,92,21.6,0,-7.950000000000001,0
NBREX,3.18,50.65,52,31.29,1,-13.46,0
OCSGX,-4.68,40.33,204,18.79,0,9.510000000000002,1
SLVIX,13.94,50.95,39,35.82,0,-5.670000000000001,0
MMCGX,-15.1,37.12,55,44.11,0,45.92999999999999,1
CFNCX,18.85,43.92,327,23.69,0,-3.49,0
WFDDX,3.33,33.41,75,21.8,0,14.1,1
EDFCX,32.97,52.99,42,30.92,0,-9.760000000000002,0
BMCKX,35.58,43.46,180,42.44,0,7.349999999999998,1
BAFGX,25.9,41.63,32,40.05,0,9.709999999999997,1
GFFFX,16.32,41.62,392,35.89,0,7.119999999999997,1
HVOAX,16.77,46.96,71,28.13,0,-6.8100000000000005,0
RPMNX,12.99,44.56,42,30.22,0,-8.780000000000001,0
CGMRX,11.36,37.66,26,57.91,0,-18.96,0
FMCSX,9.19,43.19,181,13.38,0,-2.820000000000001,0
PPSFX,15.17,43.65,866,19.96,0,-6.790000000000001,0
DHQCX,27.61,54.41,33,46.28,0,-12.72,0
ALVDX,17.59,40.99,45,40.88,0,-5.8900000000000015,0
PAGDX,13.58,40.46,37,57.43,0,2.1899999999999995,1
NDVAX,1.05,44.04,111,15.25,1,-4.170000000000001,0
DNLVX,17.33,45.02,74,23.57,0,-7.260000000000002,0
LVSMX,15.38,27.05,94,27.47,0,-12.11,0
DGOCX,14.43,38.51,42,46.73,0,-7.440000000000001,0
WLVJX,24.92,37.89,107,18.24,0,-2.7,0
FCAKX,20.74,38.81,169,33.17,0,5.780000000000001,1
VSNGX,11.0,42.5,208,10.72,0,2.039999999999999,1
SASLX,9.04,38.08,1599,4.42,0,-4.090000000000002,0
IHSRX,-3.51,34.38,120,16.59,0,13.84,1
IBSAX,12.25,50.3,50,56.57,0,7.1400000000000015,1
SESVX,6.1,45.86,410,14.56,0,-9.56,0
FIOOX,13.34,44.83,851,16.32,0,-5.510000000000002,0
EPLRX,24.77,51.58,106,18.13,0,-6.99,0
IMORX,8.95,45.01,68,25.87,0,3.82,1
RRGSX,23.74,39.14,87,45.62,0,6.370000000000001,1
DFSCX,4.77,34.26,1651,5.1,0,-4.92,0
RLCAX,18.4,47.62,96,23.52,0,-9.65,0
CLQZX,38.66,47.11,69,45.88,0,4.35,1
LGLCX,15.94,37.03,79,33.77,0,17.95,1
MCIMX,5.66,46.7,136,11.61,0,-8.860000000000003,0
MDVYX,21.71,48.45,247,23.98,0,-7.920000000000001,0
FCVCX,7.21,41.03,98,19.68,0,-7.65,0
HQIAX,19.35,46.06,70,27.81,0,-6.32,0
CSVZX,13.94,50.95,39,35.82,0,-5.760000000000002,0
LGPIX,33.4,44.55,289,43.95,0,4.3100000000000005,1
FKKSX,-8.59,33.34,272,11.71,0,15.14,1
NEOYX,13.86,49.15,53,31.65,0,-5.4700000000000015,0
ARIDX,24.43,56.72,52,35.12,0,-8.370000000000001,0
TVRRX,18.41,42.37,37,47.28,0,-3.370000000000001,0
MYISX,2.84,45.86,152,10.93,0,-8.350000000000001,0
ILGRX,33.74,41.39,43,50.72,0,8.16,1
KAUIX,1.8,27.59,183,20.73,0,6.93,1
IOLZX,15.73,40.59,38,50.1,0,-2.79,0
ALFQX,4.6,34.51,6,100.0,0,-5.19,0
PJVQX,17.93,49.78,70,23.71,0,-7.200000000000001,0
EQNTX,25.81,45.21,90,33.97,0,-4.2,0
PMVRX,9.22,43.61,76,23.11,0,9.84,1
FCNTX,26.26,35.97,376,46.12,0,4.99,1
PRJIX,-0.48,36.88,168,23.7,1,17.44,1
FOVAX,7.69,32.45,34,36.91,0,-7.300000000000002,0
WEMCX,-3.06,34.62,95,25.22,0,13.02,1
VSCOX,2.96,33.48,251,9.07,0,4.09,1
VMGAX,35.23,43.82,101,55.18,0,10.98,1
JRACX,28.07,43.02,81,49.6,0,5.389999999999998,1
CLQRX,29.6,46.46,100,33.47,0,-2.3400000000000016,0
GLSIX,3.99,39.96,47,32.09,0,-6.74,0
IYAIX,12.48,47.31,39,33.44,0,-7.170000000000001,0
VSCCX,2.96,33.48,251,9.07,0,3.02,1
BSFIX,7.09,41.48,76,27.7,0,7.7399999999999975,1
RMOYX,5.27,41.36,86,24.86,0,3.17,1
LAUCX,2.4,31.31,88,18.51,0,3.75,1
FSKGX,24.93,39.97,118,21.78,0,4.8599999999999985,1
ILCEX,33.74,41.39,43,50.72,0,7.1099999999999985,1
CIPMX,10.37,40.85,62,25.73,1,6.399999999999999,1
FIUTX,18.22,47.78,40,31.03,0,-9.35,0
SCSRX,5.55,43.65,84,18.39,0,-2.1900000000000013,0
CTVCX,1.48,29.51,29,58.07,0,-15.78,0
LCSTX,23.59,45.78,53,30.99,0,8.849999999999998,1
NBHCX,19.52,46.72,83,25.08,0,-7.8900000000000015,0
EKJRX,14.53,36.22,79,39.37,0,9.349999999999998,1
PLVJX,15.17,43.65,866,19.96,0,-6.300000000000002,0
AMGOX,8.23,32.51,110,21.51,0,13.56,1
HNSGX,4.57,36.73,69,24.51,0,8.469999999999999,1
TBDAX,33.51,41.32,91,44.18,0,8.02,1
HBSGX,-1.73,36.83,172,11.13,1,4.599999999999998,1
PVFIX,0.61,23.76,53,42.11,0,-10.27,0
WOOQX,18.6,42.95,96,18.33,0,-5.29,0
BUITX,4.81,41.99,94,16.79,0,6.16,1
GBCCX,12.88,46.03,61,36.15,0,-9.65,0
ARZDX,24.43,56.72,52,35.12,0,-8.3,0
TGVVX,24.39,40.87,45,44.13,0,8.560000000000002,1
FOCAX,20.05,44.42,31,65.46,0,6.02,1
AMADX,18.88,48.89,193,16.49,0,-4.300000000000002,0
TWADX,9.65,42.43,98,26.33,0,-7.940000000000001,0
GSPTX,23.2,44.33,181,26.89,0,3.03,1
NLCIX,31.15,47.92,92,30.52,0,-5.360000000000001,0
USISX,28.59,48.99,205,17.28,0,-6.840000000000002,0
SLYCX,23.12,45.81,296,18.21,0,-2.290000000000001,0
PGICX,25.44,50.38,36,39.08,0,-5.54,0
VVOIX,9.32,48.26,56,37.64,0,-9.8,0
URLGX,20.33,38.75,36,41.53,0,7.93,1
JMVRX,9.81,44.33,111,15.45,0,-7.630000000000001,0
MSCYX,2.28,33.32,268,9.73,0,10.06,1
IVGAX,8.68,45.97,75,25.93,0,-10.15,0
NSBCX,28.97,46.2,41,35.09,0,-3.86,0
ETAGX,6.85,40.94,77,35.55,0,12.39,1
FDVLX,3.09,54.84,222,11.12,0,-4.9700000000000015,0
RMVIX,7.04,34.52,456,11.3,0,-7.410000000000001,0
FMPYX,-0.77,37.76,89,16.92,0,10.170000000000002,1
BDAUX,28.46,43.22,36,45.95,0,2.41,1
SPSRX,8.74,45.67,183,10.98,0,-12.260000000000002,0
PGFIX,29.24,44.46,48,49.36,0,10.119999999999996,1
PEEAX,6.93,37.54,73,20.93,0,8.11,1
CAVAX,17.68,43.16,821,12.73,0,-2.490000000000001,0
WLCAX,17.74,39.05,110,25.3,0,-5.900000000000001,0
QRSVX,11.07,28.74,49,35.68,0,-2.120000000000001,0
GFVCX,15.46,46.84,37,36.77,0,-6.300000000000002,0
RMORX,5.27,41.36,86,24.86,0,3.18,1
VIGAX,31.41,43.34,258,45.19,0,10.529999999999998,1
OPMNX,13.86,41.03,82,21.04,0,-4.380000000000001,0
CSCJX,11.16,39.83,282,5.4,0,-6.250000000000001,0
TEEAX,10.4,33.98,77,33.42,0,-9.94,0
JGRRX,25.22,34.78,34,43.28,0,5.9899999999999975,1
FBCGX,18.33,39.81,435,45.58,0,16.9,1
LRSQX,8.29,41.39,75,20.79,0,-9.74,0
MDDIX,21.71,48.45,247,23.98,0,-7.510000000000002,0
MRAGX,3.94,43.48,99,25.25,1,2.27,1
ECASX,13.6,40.02,58,32.38,0,-3.0,0
DNDGX,-2.12,32.13,112,13.51,0,14.27,1
TSVQX,1.75,42.61,329,9.06,0,-11.27,0
MIGKX,28.83,42.15,54,42.39,0,6.949999999999998,1
HMVFX,8.54,40.9,83,19.39,0,-7.130000000000001,0
MSGGX,-3.06,39.06,134,23.61,1,4.690000000000001,1
JACAX,30.52,42.94,41,48.71,0,10.5,1
ISMOX,8.98,45.02,68,25.86,0,5.099999999999998,1
PBLAX,29.56,46.28,42,55.8,0,9.349999999999998,1
IVOYX,20.0,49.91,36,29.95,0,-3.66,0
JATTX,4.5,40.7,125,19.08,1,3.0399999999999987,1
SPECX,26.01,38.07,90,48.81,0,9.07,1
FTXAX,-2.92,41.97,53,24.83,0,11.849999999999998,1
NBGTX,17.12,38.26,73,31.64,1,6.039999999999999,1
GSTRX,27.17,41.02,77,43.84,0,9.170000000000002,1
FFPIX,24.17,35.32,302,43.05,0,6.16,1
APSGX,8.44,39.25,74,25.36,0,7.529999999999998,1
GCTSX,24.44,44.49,329,26.41,0,-2.99,0
ICSAX,2.61,43.44,123,13.39,0,-7.410000000000001,0
FREIX,20.91,50.01,77,29.77,0,-5.44,0
WSGBX,-0.78,40.52,80,23.76,1,4.8599999999999985,1
VAFAX,21.51,40.93,95,44.36,0,8.73,1
MRIEX,15.75,48.22,69,30.57,0,6.4899999999999975,1
FKACX,22.0,38.66,111,36.73,0,8.059999999999999,1
FLRAX,19.33,41.47,65,34.98,0,-3.040000000000002,0
TETAX,7.82,32.86,66,35.83,0,-8.98,0
PSGQX,16.85,40.98,31,50.54,0,16.359999999999996,1
WGROX,11.79,37.75,59,28.47,1,8.709999999999997,1
QALGX,36.33,47.19,102,41.6,0,8.649999999999999,1
RDIIX,14.77,29.98,69,34.63,0,-7.950000000000001,0
JTWRX,20.23,40.34,45,37.92,1,2.1899999999999977,1
MSHLX,-5.08,34.43,46,51.16,1,26.57,1
NSMVX,11.05,27.23,46,44.37,0,3.8699999999999988,1
DRISX,5.99,41.05,103,18.95,0,-10.010000000000002,0
FMVSX,9.89,43.17,73,20.43,0,-8.88,0
EALCX,26.65,39.94,62,46.12,0,7.439999999999998,1
LEXCX,16.04,45.04,20,91.92,0,-6.3900000000000015,0
TRDFX,10.63,37.22,969,5.07,0,-4.520000000000001,0
NRACX,25.15,41.76,48,37.4,0,-3.0000000000000013,0
GGCTX,26.32,38.04,41,49.21,0,8.8,1
HIMVX,11.57,48.57,145,14.54,0,-12.72,0
JLGRX,27.08,41.19,77,37.1,0,16.24,1
ASMYX,20.08,40.61,114,40.96,0,10.8,1
OIEPX,19.37,46.33,87,22.55,0,-5.62,0
MPISX,13.27,51.82,53,37.09,0,-7.130000000000001,0
PLAYX,21.17,40.83,92,37.27,0,7.440000000000001,1
TMVAX,7.04,34.52,456,11.3,0,-7.920000000000001,0
AMFEX,28.91,47.63,56,41.43,0,-3.110000000000001,0
MADFX,29.37,54.16,30,47.5,0,-6.8100000000000005,0
ACRTX,5.27,32.72,63,24.11,0,-8.55,0
NAMAX,6.83,46.28,51,27.66,0,-4.990000000000001,0
GTTMX,16.16,42.39,91,29.49,0,-8.120000000000001,0
SKSZX,8.66,37.99,74,20.55,0,-7.85,0
LAFSX,24.07,52.63,72,21.94,0,-8.0,0
QCLVX,19.06,47.74,101,22.73,0,-8.760000000000002,0
ACCLX,11.87,41.78,96,20.7,1,-9.86,0
STRNX,15.03,39.87,52,27.81,0,-8.8,0
PTSGX,20.3,43.0,32,56.47,0,16.59,1
AMIGX,38.74,44.57,37,53.15,0,9.729999999999997,1
MLVGX,24.54,43.6,92,27.06,0,-2.47,0
PRUFX,23.74,39.14,87,45.62,0,7.809999999999999,1
SEPKX,9.32,33.07,65,25.97,0,13.54,1
WEECX,17.48,42.35,47,28.72,0,-7.380000000000001,0
EIVTX,18.02,46.08,44,32.42,0,-6.060000000000001,0
FVLAX,16.81,39.21,54,37.25,0,-11.63,0
TLGAX,20.19,43.09,54,45.22,0,-2.1500000000000004,0
FAGAX,11.44,37.91,268,35.55,0,26.439999999999994,1
SDVCX,26.89,50.07,42,29.14,0,-8.170000000000002,0
BMSVX,13.58,40.47,146,16.5,0,-3.5200000000000005,0
SVLCX,13.94,50.95,39,35.82,0,-7.82,0
MDDLX,21.71,48.45,247,23.98,0,-8.110000000000001,0
BMIIX,13.27,51.82,53,37.09,0,-7.23,0
GSIIX,20.4,46.54,70,26.81,0,-5.540000000000001,0
TBCIX,24.35,37.43,125,46.7,0,7.18,1
VMSGX,12.51,42.23,150,15.22,0,7.810000000000002,1
VFFSX,27.28,45.66,512,27.39,0,2.08,1
KLCIX,17.68,38.61,68,32.51,0,6.850000000000001,1
HMVCX,8.54,40.9,83,19.39,0,-9.59,0
RVVRX,13.08,26.47,89,22.64,0,-10.11,0
ABECX,30.55,45.8,33,43.08,0,-4.440000000000001,0
PMGJX,4.03,35.93,61,25.57,0,11.98,1
NEAIX,10.03,24.84,64,63.8,0,14.689999999999998,1
FBGRX,18.1,39.63,464,45.78,0,17.04,1
STSNX,11.63,36.55,44,34.51,0,-7.940000000000001,0
SMLVX,15.38,27.05,94,27.47,0,-13.63,0
CFVLX,24.07,49.65,49,28.09,0,-5.610000000000001,0
LCLTX,2.31,45.89,93,25.59,0,20.37,1
MFVSX,24.13,51.41,71,37.72,0,-2.3000000000000007,0
WGMVX,3.53,24.33,91,18.08,0,9.939999999999998,1
AMDVX,11.87,41.78,96,20.7,1,-7.1400000000000015,0
GLCGX,33.75,43.94,117,45.77,0,4.44,1
DSFRX,27.55,45.05,323,34.89,0,4.550000000000002,1
SACVX,30.18,48.3,164,32.51,0,-3.430000000000001,0
FDSAX,40.5,58.82,32,35.32,0,-12.5,0
TSPFX,1.92,32.35,49,34.88,0,4.869999999999999,1
CCWRX,20.33,38.75,36,41.53,0,9.38,1
MFQTX,29.31,42.97,192,35.69,0,-2.490000000000001,0
USPVX,26.77,53.2,29,64.89,0,-5.200000000000001,0
RPXIX,12.96,45.99,36,39.29,0,10.72,1
EQNVX,25.81,45.21,90,33.97,0,-3.4800000000000004,0
MMVYX,3.56,41.2,191,12.21,0,-7.57,0
MSGNX,2.28,33.32,268,9.73,0,8.959999999999997,1
SSMJX,0.91,39.43,1,100.0,0,4.2799999999999985,1
UIAGX,23.27,35.85,73,40.34,0,6.079999999999997,1
CAMLX,35.35,43.72,42,45.62,0,6.530000000000001,1
IEDIX,7.28,47.02,75,25.55,0,-6.040000000000001,0
LVOSX,15.59,39.31,74,19.9,0,-3.770000000000001,0
JARTX,30.52,42.87,41,48.44,0,9.369999999999996,1
FISSX,7.53,37.96,111,19.7,0,-12.07,0
LSCNX,7.99,40.2,127,13.17,0,-8.22,0
SAVLX,8.72,43.32,298,23.49,0,-9.65,0
FOGIX,7.73,31.83,33,41.78,0,3.27,1
POSKX,22.6,50.89,130,29.59,0,-2.7300000000000004,0
PESPX,10.63,40.45,403,7.72,0,-2.780000000000001,0
WPSZX,29.22,47.96,21,63.01,0,6.0,1
ASPIX,26.01,38.07,90,48.81,0,9.079999999999998,1
APGAX,31.44,33.09,53,46.37,0,8.089999999999996,1
PCSMX,-2.11,34.18,1242,11.43,0,10.73,1
MIDUX,30.87,51.13,73,39.78,0,-3.1700000000000013,0
DCURX,28.66,48.75,41,26.01,0,-10.07,0
GSPAX,28.29,46.06,314,-7.58,0,-2.45,0
ALVGX,17.59,40.99,45,40.88,0,-6.19,0
DSCVX,1.78,43.79,83,19.55,0,-5.420000000000001,0
PGIAX,16.08,52.34,56,40.43,0,-4.820000000000001,0
ECSEX,9.99,37.36,87,21.49,0,-2.3600000000000003,0
AVUAX,11.87,41.78,96,20.7,1,-7.44,0
DHQIX,27.61,54.41,33,46.28,0,-10.73,0
FEFAX,32.37,45.53,37,56.46,0,-11.68,0
DVEAX,10.07,40.95,38,41.67,0,7.190000000000001,1
GGCIX,32.62,43.89,50,54.39,0,9.91,1
WBVDX,8.98,32.32,86,19.18,0,-12.16,0
GPAFX,11.34,43.73,50,31.7,0,-7.550000000000002,0
HUSIX,6.64,42.47,40,56.69,0,-9.39,0
EPLBX,24.77,51.58,106,18.13,0,-9.29,0
LGOVX,7.15,42.42,100,19.25,0,9.46,1
AEIYX,23.7,43.44,105,31.07,0,-5.5,0
BMIDX,12.59,42.34,63,28.8,0,7.559999999999999,1
MSCFX,2.54,32.59,49,36.46,0,-2.7700000000000005,0
AIVSX,22.23,45.93,207,34.18,0,-2.84,0
